,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Nebraska (Million cubic feet)",48915,43907,51381,47236,47834,46674,42303,38871,43502,44804,41499,44671,41414,48256,44397,45054,48989,47105,40771,40588,42510,46663,43826,42190,38600,37963,35896,38596,42357,40143,40132,39717,31286,41229,42147,34663,33050,34069,42379,41639,
"Natural gas consumed by (delivered to) the commercial sector, Nebraska (Million cubic feet)",43356,40612,43022,39055,41900,39404,36357,34205,39388,37351,36489,40291,34490,34745,38946,40044,40833,33853,28911,27586,28907,27792,28185,28368,29858,27401,28087,30067,34813,31790,31993,32115,26503,32214,32407,29464,26971,29018,35349,35388,
"Natural gas consumed by the industrial sector, Nebraska (Million cubic feet)",51941,43112,37084,37356,38622,33221,20448,30093,32346,30579,25772,24789,26491,38714,37049,44827,36171,44463,53090,45779,46847,40174,40721,38401,39168,41184,53584,65838,76654,81232,85511,86415,85633,88334,86942,85694,91116,89600,89594,89765,
"Natural gas consumed by the electric power sector, Nebraska (Million cubic feet)",11850,4560,1553,1581,1495,1284,1713,1743,2046,2593,3766,3689,1903,1876,3061,3059,2311,2687,5080,4582,5522,4290,4947,4593,3340,8066,7787,10908,7230,3331,3949,4223,7696,4604,4189,4255,5791,6167,9196,12037,
"Total energy consumption per capita in the residential sector, Nebraska (Million Btu)",80.1,75.6,83.5,84.6,81.1,80.9,78.3,76.2,82.2,83.9,82.5,86.4,79.7,87.8,86.1,86.6,90.7,89,86.7,84.4,89,92,92.2,89.8,86.6,89.2,86.6,89.5,92,87.6,89.5,87.4,79.3,87.7,87,78.5,77.9,76.3,87.2,87.6,
"Electricity consumed by (i.e., sold to) the residential sector, Nebraska (Million kilowatthours)",5521,5601,5845,6438,6268,6195,6325,6378,6813,6723,6800,7138,6561,7226,7379,7597,7741,7989,8160,7929,8346,8638,8956,8852,8757,9309,9294,9748,9756,9627,10107,9947,9680,10062,10028,9532,9738,9668,10412,10308,
"Electricity consumed by (i.e., sold to) the residential sector per capita, Nebraska (Kilowatthours)",3511,3548,3695,4064,3945,3909,4017,4072,4336,4269,4299,4473,4071,4445,4502,4585,4625,4737,4812,4651,4870,5023,5182,5091,5006,5285,5243,5466,5431,5311,5524,5403,5222,5393,5334,5038,5108,5043,5407,5334,
"Distillate fuel oil consumed by the residential sector, Nebraska (Billion Btu)",2095,2243,2132,1444,1774,2059,1732,1293,1220,1690,1142,1147,840,980,853,512,658,524,376,447,642,473,396,521,560,514,590,304,318,205,160,138,102,114,101,83,76,84,77,70,
"Propane consumed by the residential sector, Nebraska (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8368,7825,5810,7143,6980,6256,5529,4569,6543,7815,
"Distillate fuel oil consumed by the commercial sector, Nebraska (Billion Btu)",1053,1976,1737,4845,5951,4839,2039,2270,1834,1545,1673,1063,1559,1786,1919,941,1341,960,1290,1273,1151,1415,538,1230,1057,1196,1096,1093,1707,1311,1419,1140,1187,1871,1890,1873,1934,1818,2261,2440,
"Electricity consumed by (i.e., sold to) the commercial sector, Nebraska (Million kilowatthours)",4068,4524,4665,4886,5643,5714,5798,5956,6342,6473,6451,6777,6470,6560,7149,7494,7563,8014,8069,7997,8727,8757,9142,8583,8501,8848,9006,9396,9441,9314,9532,9139,9233,9387,9526,9308,9307,9293,9553,9457,
"Total energy consumption per capita in the commercial sector, Nebraska (Million Btu)",59,59.9,63.2,63.6,70.5,68.4,65.4,65.1,71,71.6,73.2,76.2,70.4,70.8,77.7,78.8,79.5,78.5,74.8,72.8,79.7,78.1,79.2,75.9,76.3,76.2,77.1,78.9,81.2,76.6,77.1,73.8,71.1,75.3,75.3,72.4,70.6,70.5,76.6,76.8,
