,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Florida (Million cubic feet)",14702,13242,12837,16295,14793,15209,16839,18220,21619,17518,15134,16357,13622,15372,14866,13533,13860,14566,14891,13089,12976,12908,14380,13940,13855,14540,16293,13117,14102,13797,15133,15547,15127,15866,15892,16124,15641,15066,15594,15214,18744,16400,14366,15321,16652,15407,15352,14934,17092,16565,
"Natural gas consumed by (delivered to) the commercial sector, Florida (Million cubic feet)",26914,25478,23243,24315,22527,31745,39681,41236,35386,36638,30182,33702,29788,29228,30481,30674,35829,37492,37834,35105,36306,39264,41727,41151,39935,40383,41810,36700,37659,36269,47904,49286,55803,54283,56321,57690,50625,51097,50901,50371,54065,53532,54659,59971,62612,60233,62526,61313,63805,63355,
"Natural gas consumed by the industrial sector, Florida (Million cubic feet)",92474,98257,88052,98711,94288,89667,105070,104541,102160,118692,101559,111922,94798,82730,78888,75950,65373,68146,82793,84427,86657,87149,89963,102067,120424,128939,133145,127571,124244,136593,107151,96992,84954,74580,64883,64406,71412,67778,69255,65594,81034,90340,104224,103428,94751,96389,103923,103645,108324,119915,
"Natural gas consumed by the electric power sector, Florida (Million cubic feet)",198367,195511,170824,168293,154862,141154,125560,137466,158042,167444,166047,171468,182471,174813,174740,165683,169533,175675,154550,186814,189165,201333,203320,188228,211492,369298,337268,338858,323771,365587,364245,374311,521868,535099,585841,630410,741759,772968,797266,913672,981750,1043786,1138771,1034288,1036754,1156605,1181451,1186912,1266822,1321071,
"Residential carbon dioxide emissions, natural gas, Florida (million metric tons CO2)",,,,,,,,,,,0.858934,0.960273,0.782321,0.894854,0.868113,0.796381,0.791181,0.846042,0.853151,0.750646,0.746136,0.752184,0.838985,0.812828,0.829488,0.82519,0.964995,0.736373,0.7889,0.765767,0.889866,0.878512,0.831345,0.876868,0.873313,0.887744,0.856016,0.82779,0.85347,0.832035,1.018582,0.883287,0.776484,0.827313,0.90955,0.837818,0.836332,0.818293,0.932206,,
"Commercial carbon dioxide emissions, natural gas, Florida (million metric tons CO2)",,,,,,,,,,,1.712934,1.978536,1.710759,1.701474,1.779998,1.805041,2.045228,2.177658,2.16763,2.013288,2.087727,2.288122,2.434452,2.399435,2.390946,2.291995,2.476208,2.060243,2.106721,2.013023,2.816778,2.784944,3.066781,3.000089,3.094901,3.176343,2.770672,2.807494,2.785899,2.754649,2.93796,2.883205,2.954354,3.238314,3.420033,3.2754,3.406185,3.359548,3.479987,,
"Industrial carbon dioxide emissions, natural gas, Florida (million metric tons CO2)",,,,,,,,,,,5.763864,6.570591,5.44441,4.816007,4.606804,4.469334,3.731688,3.95808,4.743425,4.841951,4.983029,5.078584,5.248684,5.951313,7.209764,7.318,7.885441,7.161483,6.950423,7.58132,6.300479,5.480594,4.668827,4.121866,3.565408,3.546095,3.908313,3.7241,3.790474,3.587161,4.403544,4.865721,5.633345,5.584904,5.175519,5.241521,5.661359,5.679026,5.908019,,
"Natural Gas Citygate Price in Florida, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,3.41,3.32,2.65,2.66,2.46,2.63,2.71,2.51,2.61,2.76,2.78,2.74,3.73,3.97,3.42,3.49,5.1,5.28,3.9,5.87,6.6,9.3,8.32,7.97,9.73,5.76,5.49,5.07,3.93,4.44,5.05,4.87,4.04,5.77,6.88,7.22,
"Florida Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",2.51,2.54,2.66,2.7,2.85,2.74,2.81,3.53,3.54,3.7,4.8,5.31,6.59,6.85,7.18,7.46,7.2,7.48,7.49,8.06,8.47,8.98,9.08,10.02,9.98,9.85,10.74,11.9,11.29,11.59,12.93,15.73,13.66,16.17,17.75,20.15,21.54,20.61,21.07,20.18,17.89,18.16,18.34,18.46,19.02,19.34,20.27,21.15,21.34,21.73,
"Florida Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.93,1.06,1.2,1.29,1.64,1.7,1.72,2.01,2.03,2.74,3.43,3.75,4.67,5.04,5.2,5.33,4.43,4.69,4.54,4.85,5.04,4.92,4.98,5.84,5.54,5.33,6.45,6.85,6.4,6.5,7.71,10.5,8.21,10.39,11.43,13.28,13.91,13.07,14.45,11.09,10.6,11.14,10.41,10.87,11.42,10.88,10.42,10.97,11.2,11.46,
