,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Ohio (Million cubic feet)",393759,377134,369437,329647,350296,327591,327300,326480,350612,359148,308321,321724,340628,354110,343331,357754,374824,354543,296576,318214,343920,308534,321317,343037,320823,322697,272261,299577,306529,292429,283703,286132,250871,297361,320568,285306,255826,258699,301232,290080,
"Natural gas consumed by (delivered to) the commercial sector, Ohio (Million cubic feet)",166210,161110,157664,143568,155350,143311,139119,146983,158790,161516,143503,150339,160645,164044,166798,175160,189966,183838,156630,167573,177917,172555,163274,179611,170240,166693,146930,160580,167070,160612,156407,161408,145482,168233,183105,166602,152478,156979,178992,177428,
"Natural gas consumed by the industrial sector, Ohio (Million cubic feet)",320879,317185,271303,262802,266496,253234,241069,229363,284928,282081,283588,281226,296255,302626,310568,331889,345005,336075,332247,326964,340088,296579,306892,291436,302935,294830,287350,294853,283674,233511,270060,268815,265368,275301,308197,286016,289123,295426,330451,319648,
"Natural gas consumed by the electric power sector, Ohio (Million cubic feet)",4706,2051,1230,1046,694,699,606,871,974,983,1254,3237,2956,2737,2969,7459,2902,3491,7981,11388,10123,10545,22722,18774,18258,27941,23184,37292,23493,37668,58161,92845,171590,161174,175221,208222,212528,207466,322926,363963,
"Total energy consumption per capita in the residential sector, Ohio (Million Btu)",80.3,77.1,76.4,73.5,76.1,75.6,77.3,78.5,82.9,85,76.8,80.8,79.8,82.7,80.8,84.1,86.2,82.3,76.8,82.5,83.6,79.4,83.8,85.2,84.6,87.7,79.3,84.3,83.9,80.8,82.8,81.4,74.7,78.8,81.9,76.9,74.9,71.9,79.1,74.9,
"Electricity consumed by (i.e., sold to) the residential sector, Ohio (Million kilowatthours)",33459,32863,32798,33418,34090,33945,35220,36711,38713,38792,37889,40942,39141,41950,41791,44010,44573,43635,44516,46629,46488,47346,50864,49621,50300,53904,51375,54376,53411,51405,54474,53687,52288,52158,52804,51493,52524,49796,54452,52226,
"Electricity consumed by (i.e., sold to) the residential sector per capita, Ohio (Kilowatthours)",3098,3046,3049,3112,3175,3162,3282,3412,3585,3582,3488,3740,3549,3779,3747,3929,3965,3869,3935,4114,4091,4158,4459,4339,4392,4702,4475,4728,4638,4459,4721,4650,4527,4504,4550,4431,4512,4269,4662,4465,
"Distillate fuel oil consumed by the residential sector, Ohio (Billion Btu)",43281,33182,26142,18163,22308,27059,28103,26689,28560,31034,27610,24526,26943,26142,25942,23270,21982,19353,16833,19974,17454,16086,18477,19440,19479,16641,12749,14543,13291,10387,9616,9019,7387,7551,8080,8181,7307,7714,8611,8304,
"Propane consumed by the residential sector, Ohio (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20117,19536,15161,16739,18258,16563,16879,17187,18907,21522,
"Distillate fuel oil consumed by the commercial sector, Ohio (Billion Btu)",15092,15126,12255,20823,25576,12312,13041,13569,13688,11448,11182,9386,9726,8088,7955,9946,7770,8161,6540,10535,10127,10973,13127,10510,11238,7389,8902,10211,11290,14201,14057,13243,14517,13015,11410,11812,11855,12031,12301,12366,
"Electricity consumed by (i.e., sold to) the commercial sector, Ohio (Million kilowatthours)",23323,26036,26521,27071,27978,29176,30476,31771,33318,34470,34850,36813,36150,37740,38526,40093,40570,40935,42232,43297,44635,43310,44029,44737,45313,46870,46141,48129,47310,45370,46526,47112,46756,46718,47005,47124,47742,46158,47192,46009,
"Total energy consumption per capita in the commercial sector, Ohio (Million Btu)",43.4,45.1,45.4,45.9,48.9,47.5,49.4,50.9,53.8,55.3,53.8,55.8,55.3,56.9,57.5,59.8,61.5,61.4,59.2,61.6,63.8,60.6,60.4,62.3,63.4,63.6,60.1,62.8,62.8,60.6,61.4,61.6,58.5,60,61.4,61,60.3,58.5,60.4,58,
