,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, New Jersey (Million cubic feet)",136481,145907,148845,146674,151755,150911,158266,168641,181506,195542,171660,176640,198462,195569,216873,194432,222619,216925,196658,209399,219878,214995,209836,243760,232471,231065,197205,228051,220432,226016,219141,213630,191371,226195,247742,237104,215510,221608,247585,239055,
"Natural gas consumed by (delivered to) the commercial sector, New Jersey (Million cubic feet)",60481,74627,78750,79624,83906,83467,85775,94459,101325,117385,115591,121240,130891,128942,132008,138965,150432,168760,146653,163759,158543,131417,146176,159647,168768,169857,152501,168778,168574,180404,181480,191808,174641,171797,202201,163223,153096,148948,167351,155507,
"Natural gas consumed by the industrial sector, New Jersey (Million cubic feet)",62882,88799,81603,81214,84868,81242,69715,79779,77518,84771,90376,100768,174569,188889,190558,208930,195550,192955,198872,197205,88368,86097,80483,77451,77024,74857,65632,63075,53981,48465,49269,49865,54785,61468,61494,55368,60910,54298,64167,65061,
"Natural gas consumed by the electric power sector, New Jersey (Million cubic feet)",79514,80125,65504,96886,95323,61362,36877,75138,51066,69230,66191,95732,116906,127644,145261,152071,128692,134807,134563,140935,135350,128378,160363,130131,140664,125098,130664,157375,169853,164088,199059,199594,226469,217032,249676,283447,326982,275653,285296,292372,
"Total energy consumption per capita in the residential sector, New Jersey (Million Btu)",68.2,68.2,64.6,64.2,65.8,65.8,66.1,68.6,72.1,73.3,66.5,67.3,67.9,68.7,72.3,68.3,71.3,68.2,64.6,68.4,69.4,68,69.6,74.9,74,74,66.7,71.3,69.3,67.4,67.9,65.2,61,65.7,67.1,65.6,60.7,60.3,65.9,63.3,
"Electricity consumed by (i.e., sold to) the residential sector, New Jersey (Million kilowatthours)",16329,16026,15759,16869,17157,17177,18089,19308,20656,20695,20498,21539,20547,22042,22154,22470,22632,22286,23191,24551,24547,25491,27171,27367,28020,29973,28622,29752,29111,27833,30307,29399,28663,28545,27893,29142,29091,27762,29531,28613,
"Electricity consumed by (i.e., sold to) the residential sector per capita, New Jersey (Kilowatthours)",2214,2164,2121,2259,2283,2270,2373,2517,2678,2679,2640,2756,2607,2773,2764,2780,2777,2712,2798,2937,2912,3002,3177,3182,3245,3464,3304,3428,3342,3179,3444,3330,3240,3223,3146,3285,3278,3123,3321,3218,
"Distillate fuel oil consumed by the residential sector, New Jersey (Billion Btu)",139663,134918,112378,93441,109900,117546,112133,116034,116574,103124,79575,74634,75861,71662,79893,70013,70824,66118,53111,56855,59519,55099,52661,61769,57652,51202,41080,43538,46076,38354,31454,26516,24235,25447,28599,28328,18748,18726,24777,24086,
"Propane consumed by the residential sector, New Jersey (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5719,5727,4033,4405,5198,4341,3982,4303,4925,4808,
"Distillate fuel oil consumed by the commercial sector, New Jersey (Billion Btu)",53399,44630,40952,41745,49098,36673,57722,51810,52680,52879,47862,44223,43102,34821,32262,20178,28774,19823,17814,23982,19436,19749,14045,18299,15592,20352,12142,19369,14149,12818,11226,14235,10907,11630,12586,10981,9336,8701,8341,9488,
"Electricity consumed by (i.e., sold to) the commercial sector, New Jersey (Million kilowatthours)",16878,17263,17724,18642,19680,20903,22169,23659,25512,26830,27201,27992,27764,28862,29727,30170,30520,30127,31489,32897,33474,34743,35727,36616,38074,39762,39437,40876,40570,39377,40123,39118,38340,38231,38154,38723,38672,37971,38807,38013,
"Total energy consumption per capita in the commercial sector, New Jersey (Million Btu)",52,48.9,48.2,48.1,50.9,50.3,54.1,55.6,59.3,63.7,64.9,65.4,64.8,64.8,66.2,65.3,66.9,67.1,65.2,70.1,68.9,65.6,68,70.9,73.9,75.6,71.8,75.2,73.4,72.4,71.9,72,68.6,68.6,71.2,67.2,64,62.9,65.7,62.7,
