Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,WI,41262.078,25.923076923076923,8601,309.0,0.0,16.0,1171.0,6733.0,4457.0,3903.0,11066.0,6516.0,6597.0,489.0
Statewide Total,,Cooperative,WI,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Statewide Total,,Privately Owned,WI,992.588,20.666666666666668,92,0.0,0.0,0.0,0.0,89.0,23.0,49.0,379.0,256.0,175.0,18.0
Statewide Total,,Investor Owned,WI,40183.49,28.22222222222222,8509,309.0,0.0,16.0,1171.0,6643.0,4433.0,3854.0,10624.0,6247.0,6411.0,469.0
Statewide Total,,Municipal Owned,WI,86.0,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,12.0,10.0,2.0
"SUBURBAN PROPANE, L.P.",31298,Investor Owned,WI,1.9,31.0,0,0.0,0.0,0.0,0.0,0.0,0.74,0.4,0.0,0.76,0.0,0.0
FLORENCE UTILITY COMMISSION,30660,Municipal Owned,WI,86.0,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,12.0,10.0,2.0
WISCONSIN PUBLIC SERVICE CORP,22791,Investor Owned,WI,8349.0,28.0,1281,0.0,0.0,2.0,65.0,1076.0,908.0,658.0,2955.0,1318.0,1278.0,89.0
ALLIANT ENERGY - WISCONSIN POWER & LIGHT CO,22784,Investor Owned,WI,4798.59,27.0,856,1.6,0.3,0.29,91.75,698.87,433.71,530.56,1106.12,742.66,1117.88,74.86
WISCONSIN ELECTRIC POWER COMPANY DBA WE ENERGIES,22777,Investor Owned,WI,9448.0,33.0,2334,0.0,0.0,5.0,282.0,1824.0,1454.0,1064.0,2406.0,1404.0,913.0,96.0
WISCONSIN GAS LLC DBA WE ENERGIES,22763,Investor Owned,WI,11647.0,31.0,3112,0.0,0.0,3.0,646.0,2292.0,1125.0,904.0,2764.0,1759.0,2009.0,145.0
SUPERIOR WATER LIGHT & POWER CO,18752,Investor Owned,WI,301.0,30.0,53,0.0,0.0,0.0,13.0,36.0,31.0,20.0,146.0,19.0,32.0,4.0
ST CROIX VALLEY NATURAL GAS CO INC,18048,Privately Owned,WI,236.968,25.0,43,0.0,0.0,0.0,0.0,41.487,14.004,13.262,45.258,76.946,40.765,5.246
NORTHERN STATES POWER CO OF WISCONSIN,13783,Investor Owned,WI,2350.0,25.0,224,308.1,0.4,0.0,5.1,212.8,46.5,262.1,694.8,453.0,359.0,8.3
FERRELLGAS,13772,Privately Owned,WI,14.62,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.4,0.0
MIDWEST NATURAL GAS INC,12492,Privately Owned,WI,741.0,22.0,49,0.0,0.0,0.0,0.0,48.12,9.89,35.9,333.95,165.65,134.06,12.95
MADISON GAS & ELECTRIC CO,12018,Investor Owned,WI,2990.0,30.0,637,0.0,0.0,6.0,69.0,492.0,433.0,398.0,455.0,449.0,647.0,41.0
CITY GAS CO,2428,Investor Owned,WI,298.0,19.0,12,0.0,0.0,0.0,0.0,12.0,2.0,17.0,98.0,102.0,56.0,11.0
