,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Wisconsin (Million cubic feet)",105208,109758,104648,110524,116314,119981,122786,119292,128873,124672,123233,111408,118145,112316,112952,116184,110780,103154,121335,127009,114050,124081,123405,130134,128175,136012,147893,135819,115946,127607,135095,125277,137234,142067,135169,131215,120567,131160,140576,133176,123618,129445,112554,142985,150409,126854,125449,131018,144521,151591,
"Natural gas consumed by (delivered to) the commercial sector, Wisconsin (Million cubic feet)",54555,47662,43753,55012,65705,67485,57702,61280,77890,80756,77107,68075,69694,68020,70230,72803,55275,57750,66939,70090,66339,71516,71314,77079,78609,84888,93816,88729,81316,81689,81139,76095,85811,87131,82187,86086,86342,89016,97137,91459,82204,87040,76949,99434,107003,90175,88679,90470,100026,101576,
"Natural gas consumed by the industrial sector, Wisconsin (Million cubic feet)",140888,155998,138081,167338,159887,152443,120372,159843,153984,136992,129532,129591,115882,112495,116981,115267,107274,112877,121819,127439,121896,128798,130267,134073,135106,146070,149517,155677,141980,145703,151923,132982,137706,137605,141084,130570,118396,121111,127818,119711,121408,126856,124338,136034,141661,136709,144801,154920,164613,162622,
"Natural gas consumed by the electric power sector, Wisconsin (Million cubic feet)",30604,29153,28110,29667,33815,19935,11985,6365,8312,21213,13739,7427,4318,3514,1942,1317,1783,2176,2739,2377,2682,2706,2885,3599,4390,9929,7373,15776,24377,21261,21222,22358,20541,24130,21291,58618,43977,54157,41135,41006,42639,47727,86975,61188,60285,100502,119613,107337,129495,148245,
"Residential carbon dioxide emissions, natural gas, Wisconsin (million metric tons CO2)",,,,,,,,,,,6.590911,5.964259,6.343614,6.013973,6.041403,6.2262,5.93667,5.517522,6.489467,6.771941,6.086873,6.6289,6.606192,6.980241,6.881821,7.29492,7.948366,7.283672,6.218454,6.849722,7.238627,6.703391,7.345324,7.608485,7.22584,7.055476,6.466812,7.053141,7.562856,7.16387,6.624125,6.96634,6.089314,7.792804,8.275461,7.04566,6.96061,7.229873,8.037395,,
"Commercial carbon dioxide emissions, natural gas, Wisconsin (million metric tons CO2)",,,,,,,,,,,4.123936,3.644409,3.742087,3.642128,3.756359,3.901469,2.962207,3.088959,3.580158,3.737099,3.540524,3.820717,3.817639,4.134441,4.220552,4.552899,5.042081,4.758281,4.361152,4.384921,4.347569,4.071781,4.592956,4.666334,4.393516,4.628876,4.631104,4.786879,5.225869,4.919839,4.404977,4.684214,4.163038,5.419261,5.887274,5.008443,4.920422,4.992314,5.562832,,
"Industrial carbon dioxide emissions, natural gas, Wisconsin (million metric tons CO2)",,,,,,,,,,,6.927768,6.93769,6.222114,6.023576,6.25692,6.177069,5.748796,6.037583,6.515359,6.794914,6.505596,6.880972,6.973503,7.191566,7.253961,7.834347,8.035697,8.348573,7.614693,7.821083,8.140325,7.115695,7.370579,7.369465,7.542058,7.02083,6.350352,6.512759,6.876462,6.439541,6.505702,6.827014,6.726843,7.413979,7.79413,7.592993,8.034371,8.548808,9.154769,,
"Natural Gas Citygate Price in Wisconsin, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,4.21,4.19,3.85,3.75,3.62,3.4,3.34,3.17,3.36,3.7,3.42,2.83,3.43,3.67,3.29,3.08,4.42,5.9,4.36,6.18,6.74,8.35,8.57,8.04,8.71,6.7,6.14,5.65,4.88,4.88,6.96,4.71,3.81,4.24,4.19,3.84,3.36
"Wisconsin Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",1.25,1.26,1.34,1.43,1.5,1.75,2.11,2.5,2.68,3.06,3.83,4.77,5.64,6.48,6.51,6.47,6.2,5.99,5.89,5.64,5.74,5.61,5.87,6.34,6.28,5.82,6.04,6.43,6.15,6.17,7.55,8.76,7.35,9.27,10.16,11.93,12.17,12.02,12.81,10.76,10.34,9.77,9.27,8.65,10.52,8.54,8.07,8.4,8.04,7.68,7.52
"Wisconsin Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.83,0.95,1.0,1.11,1.12,1.31,1.71,2.1,2.35,2.69,3.46,4.38,4.94,5.31,5.23,5.2,5.01,4.78,4.68,4.44,4.75,4.62,4.81,5.16,4.91,4.5,4.83,5.35,4.7,4.84,6.32,7.55,6.11,7.97,8.71,10.38,10.27,10.36,11.18,8.95,8.53,8.03,7.34,6.94,8.74,6.78,6.29,6.6,6.44,6.14,
