State,Metric,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
WI,Electric Sales Volume (Mcf),5762591,7107122,9988354,10028768,9959892,11132945,13665678,8519997,15699914,5879416,10476492,8077283,5565607,8767035,14051974,21397567,15568989,17406360,26123518,31002865,26687309,40236696,42574220
WI,Electric Transported Volume (Mcf),7576117,7757244,6048773,10395598,8236709,10391772,9673856,8133636,67703679,55098280,68743983,67956572,71410049,69032877,65654113,116289790,81892533,79848820,128740904,152749535,135296462,158563450,181914230
WI,Electric Sales Price (Dollars),3.46,3.02,3.32,5.04,5.04,4.25,6.22,6.88,10.89,8.08,7.27,8.19,4.51,5.08,4.68,3.42,3.47,5.57,2.9,3.29,3.2,4.21,4.15
WI,Electric Transported Price (Dollars),,,,,,,,,,,,0.49,0.45,0.78,0.63,1.18,1.46,1.98,1.44,1.02,1.18,0.93,0.9
WI,Electric Sales Revenue (Dollars),17532717,18503369,30552918,48117263,48919901,46140783,84865633,55104725,133929386,41994526,72295680,65720368,27238370,42399869,48996014,50724939,25498225,26177814,24213178,103070382,85276175,145780506,147257959
WI,Electric Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,11230707,8877788,12746334,9687556,17466051,16495725,13808389,13412973,20821183,21567633,24952131,19437800
WI,Electric Total Customers,19,19,24,25,24,33,34,30,40,37,43,44,40,42,131,115,136,123,126,131,131,132,79
WI,Electric Sales Customers,14,14,14,14,14,20,21,19,21,19,22,23,19,21,110,95,116,103,106,112,112,112,59
WI,Electric Transported Customers,5,5,10,11,10,13,13,11,19,18,21,21,21,21,21,20,20,20,20,19,19,20,20
WI,Vehicle Fuel Total Volume (Mcf),54576,59384,36950,43541,38923,271062,61239,53765,28040,26952,23211,19461,18821,36112,50295,69286,133777,188984,315903,381939,403524,431916,463708
WI,Vehicle Fuel Sales Volume (Mcf),54576,59384,32726,40164,38923,271062,61239,53765,28040,26952,23211,19461,18821,36112,50295,69286,133777,188984,247842,228127,242282,249789,284419
WI,Vehicle Fuel Transported Volume (Mcf),0,0,4224,3377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68061,153812,161242,182127,179289
WI,Vehicle Fuel Sales Price (Dollars),3.12,2.26,2.67,5.49,5.47,4.71,6.84,7.06,9.57,9.46,9.36,11.09,6.94,7.49,6.43,5.94,7.43,9.18,4.56,4.8,5.2,5.09,4.58
WI,Vehicle Fuel Transported Price (Dollars),,,,,,,,,,,,,,,,,,,,,0.98,0.91,0.94
WI,Vehicle Fuel Sales Revenue (Dollars),129709,67284,63450,185704,208052,1217289,383455,352219,262137,260502,213778,214291,135383,283013,306673,395702,785320,1414964,1127387,1049582,1203032,1227631,1250789
WI,Vehicle Fuel Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157589,164854,167235
WI,Vehicle Fuel Total Customers,26,22,20,18,17,25,24,24,24,24,22,22,13,13,21,30,38,38,17,25,21,21,20
WI,Vehicle Fuel Sales Customers,26,22,19,17,17,25,24,24,24,24,22,22,13,13,21,30,38,38,16,19,15,15,14
WI,Vehicle Fuel Transported Customers,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,6,6
