,Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Main Miles Built Pre-1940,Main Miles Built 1940-49,Main Miles Built 1950-59,Main Miles Built 1960-69,Main Miles Built 1970-79,Main Miles Built 1980-89,Main Miles Built 1990-99,Main Miles Built 2000-09,Main Miles Built 2010-19,Main Miles Built 2020-29
0,Statewide Total,,Total,AZ,25605.709,28.272727272727273,5140,374.0,52.0,433.0,1832.0,2238.0,1362.0,3013.0,5472.0,6986.0,3377.0,461.0
1,Statewide Total,,Cooperative,AZ,265.69,25.0,0,102.0,0.0,0.0,0.0,0.0,0.0,41.0,57.0,47.0,12.0,2.0
2,Statewide Total,,Privately Owned,AZ,275.322,35.5,16,0.0,0.0,0.0,0.0,11.0,39.0,83.0,71.0,59.0,9.0,1.0
3,Statewide Total,,Investor Owned,AZ,23453.787,31.0,4887,233.0,44.0,424.0,1772.0,2095.0,1146.0,2695.0,5071.0,6413.0,3138.0,419.0
4,Statewide Total,,Municipal Owned,AZ,1610.9099999999999,25.6,237,38.0,8.0,9.0,59.0,132.0,176.0,193.0,271.0,465.0,216.0,38.0
5,UNISOURCE ENERGY SERVICES,31840,Investor Owned,AZ,3113.0,34.0,842,0.0,0.0,2.0,275.0,516.0,317.0,273.0,813.0,821.0,78.0,18.0
6,COLORADO CITY GAS DEPARTMENT,31795,Municipal Owned,AZ,15.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,1.0
7,ALLIANT GAS,31432,Privately Owned,AZ,256.172,29.0,14,0.0,0.0,0.0,0.0,11.0,24.125,81.375,71.625,57.875,9.5,1.5
8,"WILLCOX MUNICIPAL SYSTEM, CITY OF",22609,Municipal Owned,AZ,44.1,16.0,0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,3.0,0.0
9,SOUTHWEST GAS CORP,18536,Investor Owned,AZ,20340.787,28.0,4045,233.642,44.444,422.048,1497.36,1579.136,829.537,2422.763,4258.278,5592.052,3060.349,401.178
10,"SAFFORD UTILITIES DIV, CITY OF",18028,Municipal Owned,AZ,70.8,36.0,3,7.14,7.0,0.0,2.0,1.0,5.19,14.0,23.0,8.53,2.32,0.62
11,"MESA MUNICIPAL SYSTEM, CITY OF",12378,Municipal Owned,AZ,1418.01,27.0,231,0.0,1.24,9.9,57.77,131.69,148.14,156.06,233.89,433.45,209.48,36.39
12,GRAHAM COUNTY UTIL INC,6484,Cooperative,AZ,210.19,18.0,0,102.8,0.0,0.0,0.0,0.0,0.0,0.0,48.0,44.0,12.6,2.69
13,DUNCAN RURAL SERVICE CORP,3605,Cooperative,AZ,55.5,32.0,0,0.0,0.0,0.0,0.0,0.0,0.0,41.7,9.3,3.9,0.3,0.3
14,"COPPER MARKET, INC",2778,Privately Owned,AZ,19.15,42.0,2,0.0,0.0,0.0,0.0,0.0,15.705,2.0,0.0,1.3,0.145,0.0
15,CITY OF BENSON,1312,Municipal Owned,AZ,63.0,36.0,3,0.0,0.0,0.0,0.0,0.0,23.0,23.0,11.0,6.0,0.0,0.0
