,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Arizona (Million cubic feet)",29679,32619,34259,36280,32335,37931,40267,38286,30115,29538,29518,26298,29449,29255,27606,28634,25412,28426,28206,27084,30320,31353,28386,28161,29684,26893,27709,31057,36100,32940,34740,36249,35305,35810,38206,35767,36055,38321,38453,34732,37812,38592,34974,39692,32397,34516,35120,32821,35125,42085,
"Natural gas consumed by (delivered to) the commercial sector, Arizona (Million cubic feet)",22705,25604,26905,31812,32742,32638,36763,34076,29581,26971,27487,26742,26085,24612,25309,25360,24081,27669,28299,28600,28401,27597,27089,27568,29187,28210,28987,30132,31788,31301,32138,31121,31705,32292,33159,31888,32792,32694,32516,32196,31945,32633,31530,32890,30456,30536,34010,31212,31812,34687,
"Natural gas consumed by the industrial sector, Arizona (Million cubic feet)",57762,60585,63133,65558,64895,50868,54536,50326,45791,44599,37807,47264,29723,29738,29161,16509,8492,17763,24190,20720,18450,19249,19815,21213,25930,27721,27037,27914,28203,27066,21256,21268,17213,15295,20738,16998,18470,19375,20204,17965,19264,21741,22669,22157,22499,20407,19768,19254,19172,18629,
"Natural gas consumed by the electric power sector, Arizona (Million cubic feet)",58898,68382,77715,56689,40249,17693,24338,29493,54379,51258,49699,57911,31286,19209,25366,41731,30607,26665,25328,50807,24278,23282,30939,20480,26147,22183,22554,26692,42267,54685,95881,129086,145346,170140,240321,217485,248146,280156,283817,261904,224430,180966,228818,222985,205697,248369,255498,223952,284653,356307,
"Residential carbon dioxide emissions, natural gas, Arizona (million metric tons CO2)",,,,,,,,,,,1.637488,1.471845,1.648258,1.62295,1.531958,1.588782,1.397937,1.563368,1.547398,1.500814,1.660727,1.704286,1.553128,1.536256,1.619077,1.481077,1.485056,1.685345,1.947286,1.775594,1.861705,1.935242,1.905849,1.9241,2.061994,1.94198,1.948877,2.085392,2.093669,1.876455,2.039764,2.074197,1.893752,2.160945,1.774321,1.912534,1.94076,1.821541,1.93747,,
"Commercial carbon dioxide emissions, natural gas, Arizona (million metric tons CO2)",,,,,,,,,,,1.524849,1.496676,1.45996,1.36536,1.404516,1.407116,1.324719,1.521718,1.552491,1.584803,1.555568,1.500124,1.482138,1.503891,1.591965,1.553605,1.553499,1.635153,1.714685,1.687255,1.722272,1.66147,1.711502,1.735059,1.789601,1.731345,1.772517,1.779149,1.770395,1.739463,1.723227,1.753894,1.70731,1.790609,1.668049,1.69203,1.879426,1.732247,1.754743,,
"Industrial carbon dioxide emissions, natural gas, Arizona (million metric tons CO2)",,,,,,,,,,,2.09733,2.645246,1.663592,1.649744,1.618281,0.916023,0.467164,0.976932,1.327053,1.148146,1.010517,1.046384,1.084107,1.157272,1.414332,1.526599,1.448978,1.514768,1.521294,1.458952,1.139127,1.135466,0.929181,0.821795,1.11923,0.922921,0.998314,1.054342,1.100077,0.970566,1.039168,1.16852,1.227466,1.206296,1.232241,1.130744,1.092384,1.068561,1.057579,,
"Natural Gas Citygate Price in Arizona, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,3.94,3.54,2.66,2.46,2.51,2.67,2.73,2.45,2.33,2.62,2.53,2.1,2.78,3.15,2.55,2.72,4.82,5.02,3.77,4.87,5.63,7.32,7.67,8.25,8.49,7.21,6.59,5.91,4.68,4.73,5.2,4.38,4.07,4.36,3.47,2.62,2.56
"Arizona Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",1.2,1.23,1.24,1.37,1.5,1.53,2.12,2.61,3.07,3.5,4.05,4.63,5.92,6.63,7.16,7.0,6.28,6.11,6.99,6.94,6.85,6.99,7.24,7.2,7.54,7.82,7.52,7.83,8.5,9.13,9.43,10.51,12.09,11.31,12.16,13.54,16.32,17.21,17.6,17.65,15.87,15.04,15.75,13.92,17.2,17.04,15.28,15.78,15.35,13.49,13.11
"Arizona Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.63,0.69,0.72,0.77,0.83,1.16,1.43,1.76,2.2,2.64,3.14,3.53,4.9,5.55,5.6,5.57,4.64,4.54,4.97,4.76,4.79,5.07,5.2,5.06,5.27,5.25,5.02,5.31,6.0,6.17,6.69,7.86,8.42,7.84,8.6,9.85,12.11,12.84,13.01,12.15,10.72,9.99,9.35,8.76,10.34,10.53,8.83,8.97,8.69,7.29,6.91
