State,Metric,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AZ,Electric Transported Volume (Mcf),31829495,35158237,45742038,81743276,105647047,101562859,169683461,201893132,209512670,239563629,278164097,272874931,219152229,176063438,203532146,266127498,256924409,241059373,281689014,288152428,263699539,332734283,409237269
AZ,Electric Sales Price (Dollars),3.57,2.45,2.67,4.98,14.8,3.43,5.32,6.54,8.46,8.62,8.34,9.92,5.16,5.65,7.4,4.68,5.88,6.78,5.1,4.38,5.22,4.46,2.86
AZ,Electric Transported Price (Dollars),,,,,,,,,,,,1.03,0.88,0.76,0.92,1.04,1.07,1.88,4.38,4.83,4.74,3.69,4.3
AZ,Electric Sales Revenue (Dollars),676406,9731629,15575148,72778596,90846418,48747148,55205516,31536516,71488892,64691433,47552376,61318064,24169223,15369227,8236545,9543520,15153525,8454635,4516571,3779416,4449027,6439731,6704082
AZ,Electric Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,1243461,1037648,4529387,5180584,5812557,5661534,5588313,5624924,6378227,5869140,5832283,6219760
AZ,Electric Total Customers,12,12,12,27,27,27,34,33,55,33,31,28,38,47,67,62,63,62,66,66,64,71,69
AZ,Electric Sales Customers,7,7,9,23,21,18,21,20,43,21,16,15,25,22,23,22,22,21,20,19,20,22,21
AZ,Electric Transported Customers,5,5,3,4,6,9,13,13,12,12,15,13,13,25,44,40,41,41,46,47,44,49,48
AZ,Vehicle Fuel Total Volume (Mcf),152097,151560,67439,73215,262995,297705,317833,371977,369835,443705,452172,1439406,484707,365616,1667758,781608,1138347,1271855,1596285,1405053,1541420,1608378,1536816
AZ,Vehicle Fuel Sales Volume (Mcf),152097,151560,67439,73215,262995,297705,317833,371977,369835,443705,452172,1439406,484707,365616,1667758,781608,1138347,1271855,1596285,1405053,1541420,1608378,1536816
AZ,Vehicle Fuel Transported Volume (Mcf),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,Vehicle Fuel Sales Price (Dollars),3.49,4.7,5.49,6.12,8.52,8.03,5.49,6.51,7.88,9.75,9.57,10.83,13.8,11.66,8.28,10.72,9.49,10.3,6.7,6.07,7.68,6.98,6.24
AZ,Vehicle Fuel Transported Price (Dollars),,,,,,,,,,,,,,,,,,,,,,,
AZ,Vehicle Fuel Sales Revenue (Dollars),531555,676456,356321,426506,1778112,2096175,1795153,2445739,2926498,4352661,4251943,15830883,7253367,4517007,12896771,10309022,13510083,15150091,15266295,10663301,16720547,16843862,13565088
AZ,Vehicle Fuel Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,Vehicle Fuel Total Customers,35,37,35,57,175,190,206,194,179,185,187,181,143,124,120,174,189,213,219,203,199,194,186
AZ,Vehicle Fuel Sales Customers,35,37,35,57,175,190,206,194,179,185,187,181,143,124,120,174,189,213,219,203,199,194,186
AZ,Vehicle Fuel Transported Customers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
