State,Metric,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ND,"Losses from leaks, etc. within State (Mcf)",0,0,0,0,0,0,0,0,0,0,0,0,1839,31535,89985,58992,261200,2182906,644676,383698,447171,552918,374603
ND,Residential Total Volume (Mcf),11370484,10091809,10572860,10962737,10569854,11724766,11876424,11132338,10692290,9644311,10697870,11500499,11518205,10536496,10937211,9594352,12084755,12505304,10552241,10058529,11014977,12680960,13123513
ND,Residential Sales Volume (Mcf),11370484,10091809,10572860,10962737,10569854,11724766,11876424,11132338,10692290,9644311,10697870,11500499,11518205,10536496,10937211,9594352,12084755,12505304,10552241,10058529,11014977,12680960,13123513
ND,Residential Transported Volume (Mcf),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ND,Residential Sales Price (Dollars),4.71,4.65,4.77,6.84,8.0,5.85,7.9,9.28,11.52,11.08,10.13,11.09,8.58,8.82,8.59,8.01,7.61,9.13,8.01,7.33,7.42,7.68,7.61
ND,Residential Transported Price (Dollars),,,,,,,,,,,,,,,,,,,,,,,
ND,Residential Sales Revenue (Dollars),56739088,52058390,56195355,69851225,81164503,60210514,86051470,100515941,121858291,104196561,97661392,118931873,97394935,85182301,88538974,71295774,89775017,110802838,86021374,72488264,84142443,91322004,91887395
ND,Residential Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ND,Residential Total Customers,98326,101930,104051,105660,106758,108716,110048,112206,114152,116615,118100,120056,122065,123585,125392,130044,133975,137972,141465,143309,144881,146336,148015
ND,Residential Sales Customers,98326,101930,104051,105660,106758,108716,110048,112206,114152,116615,118100,120056,122065,123585,125392,130044,133975,137972,141465,143309,144881,146336,148015
ND,Residential Transported Customers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ND,Commercial Total Volume (Mcf),10870125,10081938,10022863,11059619,10456349,11675001,10951869,10473285,9903172,9355331,10295768,11101073,10987296,10302002,10972907,10363756,13235786,13999378,12317073,11809597,12957008,14454477,15455008
ND,Commercial Sales Volume (Mcf),9663556,8451030,8844544,9902973,9425208,10698384,10334771,9700111,9199484,8702167,9602532,10369173,10211280,9538075,10177838,9526935,12255278,13031218,11462475,10960807,12009302,13444694,14456732
ND,Commercial Transported Volume (Mcf),1206569,1630908,1178319,1156646,1031141,976617,617098,773174,703688,653164,693236,731900,776016,763927,795069,836821,980508,968160,854598,848790,947706,1009783,998276
