,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Tennessee (Million cubic feet)",44894,41857,42023,40596,44045,39434,40240,43483,47668,49196,46340,49357,52220,58919,57334,59994,70423,64130,59386,60561,68428,68053,69330,69746,65331,66277,61018,60736,69181,66111,74316,67190,53810,71241,78395,67312,58924,56661,74802,68686,
"Natural gas consumed by (delivered to) the commercial sector, Tennessee (Million cubic feet)",44048,42686,38697,42903,46544,43399,42589,44144,45852,47513,43552,45953,46532,50754,50760,51235,58497,55117,52394,52572,53365,53010,53710,56576,54201,54264,51537,51056,54094,51879,56194,52156,44928,53888,57435,53049,49809,49042,58669,56315,
"Natural gas consumed by the industrial sector, Tennessee (Million cubic feet)",123122,121120,109878,100115,103053,97247,91602,97667,103409,106943,109777,115830,126269,124337,118915,125846,126566,138909,144591,144568,129745,118614,118321,112493,98747,94966,93666,92032,91996,83550,94682,106898,105531,110952,117288,115072,123235,134790,147159,147810,
"Natural gas consumed by the electric power sector, Tennessee (Million cubic feet)",1105,316,0,107,0,0,0,0,225,18,565,211,291,1531,1019,2055,572,1636,6213,5875,5250,2479,2596,5621,2262,5627,6691,7291,4411,3668,22156,26314,62961,36613,45083,69752,87692,75574,103091,118725,
"Total energy consumption per capita in the residential sector, Tennessee (Million Btu)",82.8,77.1,78.9,77.6,81.9,79.1,77.6,79.8,82.1,85,81.5,83.4,82.3,82.6,85.8,80.6,91.8,82.9,86,86.3,89.1,87.5,89.1,87.1,87.7,91.9,89.1,91.5,90.1,84.7,95.1,87.9,77.2,81.8,85.9,81.2,79.7,74,83.1,76.8,
"Electricity consumed by (i.e., sold to) the residential sector, Tennessee (Million kilowatthours)",26207,24631,24639,24758,26236,25546,25884,27460,27960,28355,28757,29605,29498,30199,32797,30967,35333,33367,35428,35425,36622,36932,38752,37697,38526,41132,40816,42880,41947,40275,45191,43068,39754,40906,42538,41667,41774,39293,44382,42573,
"Electricity consumed by (i.e., sold to) the residential sector per capita, Tennessee (Kilowatthours)",5697,5323,5303,5313,5598,5418,5462,5741,5798,5841,5875,5961,5842,5878,6269,5813,6523,6068,6360,6282,6421,6422,6686,6446,6518,6866,6703,6943,6714,6387,7111,6729,6158,6296,6500,6318,6281,5852,6548,6233,
"Distillate fuel oil consumed by the residential sector, Tennessee (Billion Btu)",1797,2743,2346,1524,1872,1566,1017,1462,1384,1660,1602,1559,1498,1197,1602,1514,1563,1377,1340,1341,1014,966,668,703,727,592,621,735,924,952,885,262,238,226,223,294,196,227,195,158,
"Propane consumed by the residential sector, Tennessee (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10822,7620,4424,5378,7217,6427,5776,5441,6632,7306,
"Distillate fuel oil consumed by the commercial sector, Tennessee (Billion Btu)",5910,6514,6493,11588,14233,18666,8659,7444,6765,4509,4303,3498,6020,5474,5334,4298,5271,4812,5523,5583,6272,5443,6017,6394,6231,4536,3773,5509,4195,7017,6865,5942,5856,3866,5008,4769,4524,5434,5423,5827,
"Electricity consumed by (i.e., sold to) the commercial sector, Tennessee (Million kilowatthours)",14216,15423,15730,16184,9948,9856,9727,10199,10481,12237,13075,13117,7391,6102,6121,6234,6543,25839,25859,26260,26814,27049,27634,27481,28249,29146,29033,29985,29418,28049,29399,29025,28150,33575,33497,34982,35439,33727,36930,36151,
"Total energy consumption per capita in the commercial sector, Tennessee (Million Btu)",49,50.4,50.8,55.1,39.6,38.7,35.3,35.9,37.3,42.6,42.8,42.5,29.6,26.7,25.8,25.6,27.6,65.1,64.2,65.1,65.7,64.6,64,64.4,64.9,65.2,63.8,64.7,63.4,59.8,62.9,60.4,56,65.9,66.5,68,68.2,64.4,69.2,65.5,
