,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Texas (Million cubic feet)",232189,237387,240662,241478,222603,232320,235637,269964,274849,315857,224800,209045,221383,214479,230311,212676,194602,210688,209957,230099,210655,222200,214682,231799,213433,206415,229318,234988,199454,175907,193555,208449,209951,206694,191507,185124,166225,199802,192750,192153,226445,199958,169980,207148,234520,211379,175332,164147,227028,228129,
"Natural gas consumed by (delivered to) the commercial sector, Texas (Million cubic feet)",146090,142423,141128,155070,134418,116749,135452,158683,168946,233758,168513,157199,189447,157481,165700,151774,146972,156509,175368,182670,172333,180973,184673,175988,180232,209584,178549,216333,169610,171714,190453,171847,226274,218565,192901,159972,147366,161255,167129,167315,188796,184475,161273,173809,184908,175883,164306,164782,214173,198029,
"Natural gas consumed by the industrial sector, Texas (Million cubic feet)",2557224,2717854,2641685,2854315,2677831,2159890,2153724,2159038,2201773,1973505,2162933,2080437,1594531,1573110,1663321,1731635,1655356,1805304,1994246,2079865,2105403,2069924,2027846,2117335,2068943,2188003,2442392,2351090,2329161,2146081,2397231,2315650,2246150,2133763,2092866,1628074,1590583,1611929,1652978,1536577,1743038,1781283,1874833,1933522,1988477,2023290,2067057,2089677,2266597,2290210,
"Natural gas consumed by the electric power sector, Texas (Million cubic feet)",1061625,1167973,1284783,1265928,1334837,1353297,1378534,1488818,1490686,1400368,1430027,1378235,1286297,1190648,1265385,1197590,1106826,1049804,1043910,1144026,1134238,1132682,1104687,1210739,1187928,1207268,1206032,1231541,1440704,1444716,1577563,1506112,1550292,1453858,1394408,1466263,1463658,1473555,1440043,1387421,1348656,1454413,1516946,1422600,1425134,1623836,1534063,1370474,1643854,1787199,
"Residential carbon dioxide emissions, natural gas, Texas (million metric tons CO2)",,,,,,,,,,,12.295087,11.458118,12.114535,11.742555,12.70219,11.724993,10.76541,11.651562,11.586303,12.690889,11.647795,12.261183,11.960617,12.647542,11.808239,11.415142,12.612843,12.842844,11.108846,9.684805,10.61266,11.321709,11.508787,11.28441,10.474606,10.096684,9.050778,10.879216,10.498588,10.447123,12.410538,10.906275,9.275897,11.261278,12.864915,11.611292,9.581981,8.956708,12.383267,,
"Commercial carbon dioxide emissions, natural gas, Texas (million metric tons CO2)",,,,,,,,,,,9.21658,8.61635,10.366954,8.621974,9.138746,8.367408,8.13051,8.655346,9.677536,10.074983,9.528765,9.986273,10.288696,9.602302,9.971364,11.590441,9.820524,11.823254,9.446686,9.453955,10.442613,9.333729,12.403534,11.932497,10.550849,8.724904,8.023919,8.780295,9.103091,9.096725,10.347164,10.061772,8.800722,9.448862,10.143374,9.66146,8.979416,8.992946,11.682282,,
"Industrial carbon dioxide emissions, natural gas, Texas (million metric tons CO2)",,,,,,,,,,,116.582021,112.3413,85.818967,84.725436,90.223973,93.990257,90.146941,98.342323,108.447048,112.917867,114.580319,112.319792,111.029655,113.531982,112.309571,118.770084,132.055864,126.177097,127.311831,115.880721,129.185662,123.770538,121.158385,114.670787,112.675046,87.13738,85.405087,86.799435,89.213724,82.654269,94.418192,95.920247,100.891945,103.460066,107.558968,109.635559,111.398629,112.727518,121.026731,,
"Natural Gas Citygate Price in Texas, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,3.91,3.43,2.55,2.52,3.05,3.33,3.14,2.88,3.06,3.32,3,2.95,3.22,3.66,2.63,2.84,4.39,5.13,3.86,5.53,6.03,8.09,7.6,7.84,9.2,5.59,5.89,5.39,4.3,4.89,5.77,4.19,4.09,4.8,5.04,3.02,
"Texas Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",0.92,0.99,1.01,1.04,1.17,1.52,1.99,2.39,2.73,3.21,3.4,4.2,5.21,5.55,5.82,5.77,5.31,5.21,5.37,5.55,5.78,5.71,5.78,5.91,5.99,5.92,5.89,6.32,6.16,6.09,7.41,8.9,7.29,9.22,10.37,12.48,13.11,12.0,13.75,11.19,10.82,10.21,10.55,10.5,11.16,10.64,11.73,13.61,11.42,10.61,
"Texas Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.45,0.5,0.52,0.56,0.71,1.05,1.42,1.8,2.2,2.84,2.99,3.68,4.49,5.05,5.07,4.88,4.17,4.26,4.19,4.11,4.14,4.01,4.09,4.45,4.33,4.09,4.27,4.91,4.44,4.42,5.67,6.48,5.49,7.59,8.36,10.47,10.25,9.77,11.25,8.15,7.9,7.07,6.63,7.25,8.26,6.92,6.89,7.71,6.55,6.18,
