,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Utah (Million cubic feet)",44637,49849,48855,48647,50347,59736,66417,35558,47783,60462,57639,54789,45957,54938,54639,58727,57654,41536,42241,45168,43424,50572,44701,51779,48922,48975,54344,58108,56843,55474,55626,55008,59398,54632,60527,58044,60017,60563,65974,65184,66087,70076,59801,70491,62458,58562,63929,66700,67415,75938,
"Natural gas consumed by (delivered to) the commercial sector, Utah (Million cubic feet)",10180,8504,7933,8997,5806,6055,14681,9661,8430,6,330,343,21831,7986,8569,8505,4636,14811,17911,16522,16220,19276,16584,22588,26501,26825,29543,31129,30955,30361,31282,30917,33501,30994,31156,34447,34051,34447,37612,37024,38461,40444,35363,41398,38156,35772,39066,41264,42367,47336,
"Natural gas consumed by the industrial sector, Utah (Million cubic feet)",63110,60113,62671,60109,60263,55029,61896,55313,53747,58823,51139,43290,45769,44784,51084,46449,41553,41555,47243,50174,55221,56858,53489,54826,49891,69347,69332,68781,72967,64668,64048,53599,48576,46079,45846,46500,53036,56072,53487,51640,55717,59905,67546,72170,67936,67542,64703,61752,60450,60055,
"Natural gas consumed by the electric power sector, Utah (Million cubic feet)",3520,2400,3783,4742,4009,3040,2805,5344,7575,6186,5133,3097,3023,1259,271,235,230,263,196,636,907,5190,6576,6305,8900,8707,4087,4079,5945,6478,10544,15141,15439,14484,9423,12239,28953,56438,55374,49984,48399,40138,47138,49562,58780,56449,59684,40830,61161,67386,
"Residential carbon dioxide emissions, natural gas, Utah (million metric tons CO2)",,,,,,,,,,,3.339864,3.131935,2.289501,3.137983,3.116708,3.349573,2.898963,2.380069,2.422727,2.605719,2.507776,2.880977,2.559029,2.970749,2.77428,2.764305,3.006138,3.213748,3.155757,3.107582,3.103178,3.072034,3.341084,3.092461,3.392443,3.245052,3.36618,3.392655,3.718636,3.619579,3.671044,3.863958,3.316625,3.925557,3.463009,3.251843,3.544716,3.69232,3.72808,,
"Commercial carbon dioxide emissions, natural gas, Utah (million metric tons CO2)",,,,,,,,,,,0.0191,0.019631,1.087609,0.456128,0.488811,0.485097,0.233131,0.848694,1.027283,0.953163,0.936715,1.098114,0.949396,1.295962,1.50283,1.514078,1.634251,1.721636,1.718558,1.700785,1.74514,1.726623,1.884414,1.754425,1.746254,1.925798,1.909881,1.929671,2.119985,2.055893,2.136486,2.230078,1.96124,2.305418,2.115582,1.986389,2.166091,2.284249,2.342929,,
"Industrial carbon dioxide emissions, natural gas, Utah (million metric tons CO2)",,,,,,,,,,,2.963215,2.474616,2.280163,2.557968,2.913925,2.649279,2.089372,2.381183,2.709604,2.89456,3.189077,3.239056,3.062112,3.145624,2.8293,3.914256,3.835201,3.804057,4.050877,3.622603,3.572995,2.993298,2.732365,2.608319,2.569587,2.599671,2.974675,3.141061,3.014786,2.867501,3.095008,3.303149,3.746172,4.019043,3.766705,3.750523,3.587639,3.418441,3.327237,,
"Natural Gas Citygate Price in Utah, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,3.9,3.75,3.49,3.14,3.14,3.59,3.91,3.89,4.09,2.63,3.31,2.88,2.25,2.79,3.22,2.98,3.68,5.61,4.07,4.74,5.68,7.58,8.42,7.29,7.62,6.76,5.53,5.68,5.5,5.7,5.74,5.7,5.15,5.3,5.17,4.8,
"Utah Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",0.85,0.87,0.9,0.99,1.07,1.22,1.38,1.64,1.93,2.22,2.74,3.23,3.41,4.26,5.68,4.86,4.64,4.97,5.11,5.14,5.28,5.44,5.44,5.13,4.96,4.74,4.47,5.13,5.57,5.37,6.2,8.09,6.39,7.33,8.12,9.71,11.02,9.44,9.0,8.95,8.22,8.44,8.7,8.55,9.48,9.72,9.12,9.05,9.04,7.82,
"Utah Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.59,0.64,0.71,0.8,0.93,1.52,1.53,1.73,1.67,2.33,5.59,5.35,3.43,4.32,4.96,4.91,4.73,4.98,4.08,4.16,4.3,4.5,4.4,4.06,3.84,3.64,3.38,3.92,4.35,4.13,4.92,6.78,5.2,5.95,6.75,8.23,9.61,8.03,7.74,7.57,6.83,7.05,7.0,7.13,7.71,7.97,7.43,7.4,7.37,6.35,
