,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Indiana (Million cubic feet)",163665,159003,160066,145255,151568,146251,140135,139048,153609,155934,140492,146446,152692,163944,157467,161059,179939,169140,140122,151529,161221,147338,156809,157356,148587,148655,127649,142543,152701,139743,138415,132094,115522,144496,156639,133045,125038,123847,144207,142806,
"Natural gas consumed by (delivered to) the commercial sector, Indiana (Million cubic feet)",70048,71178,71900,65409,71819,69641,64821,64903,71709,73625,67223,68383,72720,78047,75819,82726,87456,81753,73117,73643,90378,78479,82427,87225,84883,76217,71081,75562,84858,78764,75883,75995,66663,82596,90915,77552,74131,75312,86188,88245,
"Natural gas consumed by the industrial sector, Indiana (Million cubic feet)",244736,252231,224453,207715,221384,211126,183280,201402,218781,219962,228139,227774,245528,263288,270017,275381,288898,290110,287305,311722,298556,250792,259110,248704,262956,264117,263915,272652,272369,245186,289597,327006,345184,357196,376138,372999,371319,379468,419456,426717,
"Natural gas consumed by the electric power sector, Indiana (Million cubic feet)",1904,5309,2705,2877,1451,1117,1086,1315,3455,4075,6632,10043,7772,5667,9009,8349,4355,4661,13678,12515,14513,17777,35104,26672,22946,35376,27213,37871,34312,36576,61242,85298,115328,81013,82361,127964,174685,132684,196219,222085,
"Total energy consumption per capita in the residential sector, Indiana (Million Btu)",83.4,80.5,82.2,79.6,79.8,77.7,77.7,78.6,84.5,85.7,78,82.2,79.5,84.4,81.8,84.3,88.6,84.5,79.3,84.5,84.8,82.3,87,88.6,85.1,89.3,81.6,90.7,92,86.6,89.7,85.6,79.5,86.6,88.3,80.9,79.2,74.7,83.1,79.7,
"Electricity consumed by (i.e., sold to) the residential sector, Indiana (Million kilowatthours)",19262,19118,19307,19931,20193,19803,20508,21171,22486,22281,22111,24220,22837,24978,25048,26560,26860,26550,27334,28806,28649,29420,31568,30726,31192,33629,32286,34646,33980,32548,35058,33912,32964,33407,33704,32442,33026,31552,34575,33249,
"Electricity consumed by (i.e., sold to) the residential sector per capita, Indiana (Kilowatthours)",3508,3488,3531,3657,3700,3628,3760,3868,4095,4034,3978,4312,4024,4352,4323,4539,4548,4458,4557,4765,4703,4801,5128,4959,5004,5356,5098,5431,5289,5039,5401,5203,5041,5084,5110,4907,4975,4736,5162,4940,
"Distillate fuel oil consumed by the residential sector, Indiana (Billion Btu)",31443,23884,24591,14081,17295,15469,17672,17708,17138,15702,11635,11258,10964,12334,9686,8590,8423,7357,6136,6094,5678,4533,4904,6836,5913,5227,3558,2758,3413,1756,1494,1598,1372,1226,1191,1235,908,944,1151,1280,
"Propane consumed by the residential sector, Indiana (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17305,16631,11899,14078,14261,11647,11136,10762,13521,14382,
"Distillate fuel oil consumed by the commercial sector, Indiana (Billion Btu)",11563,6636,8392,18014,22126,15949,11279,8950,8206,7839,7246,6834,8180,9464,8140,6424,5614,6370,8277,7500,7819,9170,8023,10082,9836,7413,7781,5762,6868,5543,4096,3196,3843,3818,4790,4530,4437,4060,4446,4980,
"Electricity consumed by (i.e., sold to) the commercial sector, Indiana (Million kilowatthours)",10423,10832,11290,11401,11916,12257,12933,13455,15715,15863,16116,17014,16688,17524,17982,18654,18822,19030,19861,20685,21070,26219,22363,22441,22957,23959,23830,24768,24570,23689,24365,24111,24022,24252,24130,24022,24229,23657,24305,23518,
"Total energy consumption per capita in the commercial sector, Indiana (Million Btu)",40.9,38.4,41.2,44,45.5,43.9,43.3,43.5,49.4,51.8,50.1,50.9,50.5,52.9,52.6,53.9,55,54.1,54,54.7,57.6,64,56.7,59.6,59.2,58.5,55.9,59.2,62.3,59.4,59.1,57.8,55.2,58.6,59.2,56.8,55.7,53.5,56.2,54.5,
