,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Missouri (Million cubic feet)",143425,128562,135984,126604,130683,128123,120564,116050,128317,129144,115950,120680,116655,134172,122566,125110,137225,127625,110779,112042,115466,116188,114185,114547,109738,106856,95394,101601,114025,106301,107389,102545,83106,106446,115512,95503,87264,86865,113938,110611,
"Natural gas consumed by (delivered to) the commercial sector, Missouri (Million cubic feet)",76054,68455,69913,66106,67218,60345,61890,58205,63839,63039,59387,63191,60963,69670,66196,65086,72802,69829,61995,63100,62673,64924,61897,61516,61755,60369,56722,59224,64993,61433,61194,62304,54736,64522,72919,61389,56968,57903,69381,67930,
"Natural gas consumed by the industrial sector, Missouri (Million cubic feet)",78064,73236,64559,59307,59502,65702,54508,54326,54243,53938,54538,57186,58467,60982,70521,68925,71247,70865,64284,64402,68496,67846,66965,61545,64483,66350,65627,67868,66758,63431,65554,63053,62516,63212,67115,65691,63630,63158,66744,65452,
"Natural gas consumed by the electric power sector, Missouri (Million cubic feet)",15329,7661,4441,2806,2501,1466,1182,1379,1623,1242,3532,12709,2351,4891,4351,12830,5202,7465,16034,19428,30481,32805,29911,21778,24574,31831,32480,41067,43009,29807,40216,37626,50538,37119,35127,38633,52480,46973,62977,67538,
"Total energy consumption per capita in the residential sector, Missouri (Million Btu)",82.6,73,75.8,79,76.3,75.9,75.3,74.9,79,80.3,78.3,83.7,77.7,87.7,83,86.2,91,87.8,86.4,86.8,89.4,90.6,90.9,89.4,87.6,93.6,88.7,91,92.7,88.6,94.1,89.9,81.6,88.8,92.4,81.9,81,77,90.8,86.4,
"Electricity consumed by (i.e., sold to) the residential sector, Missouri (Million kilowatthours)",18648,16437,16708,19003,18490,18483,19468,20312,21348,21057,21652,23386,21294,24182,24057,25409,26448,26595,28265,27766,29581,30168,31684,31422,31351,34412,33880,35872,35390,34221,37302,35941,34337,35318,35793,33912,34355,33051,37463,35691,
"Electricity consumed by (i.e., sold to) the residential sector per capita, Missouri (Kilowatthours)",3789,3333,3389,3844,3716,3696,3876,4017,4201,4132,4222,4523,4081,4588,4518,4724,4869,4852,5119,4992,5276,5348,5583,5504,5454,5943,5799,6093,5974,5741,6221,5979,5698,5844,5907,5582,5640,5408,6115,5812,
"Distillate fuel oil consumed by the residential sector, Missouri (Billion Btu)",7256,8194,6551,4088,5022,4932,5026,4195,3891,3215,2400,2498,2069,2419,1873,2540,1923,1809,1710,1783,1794,2352,1688,1199,1120,938,876,827,593,438,367,318,270,255,239,155,113,91,129,74,
"Propane consumed by the residential sector, Missouri (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18676,16512,12726,15101,17048,14312,13903,12111,16521,19709,
"Distillate fuel oil consumed by the commercial sector, Missouri (Billion Btu)",5829,4504,6104,9446,11602,8861,9087,11906,10204,6284,5976,6456,6787,6707,6330,6927,7618,6803,6750,5950,6503,9067,5787,4890,4949,3026,2523,2131,3136,3355,3026,2625,3679,3999,4599,5491,4906,4337,4571,3646,
"Electricity consumed by (i.e., sold to) the commercial sector, Missouri (Million kilowatthours)",12986,12371,12767,13247,14576,15205,16083,17254,18343,18753,19335,20014,19677,20822,21518,22514,23462,23831,24925,25138,26962,27210,27946,27987,28391,29640,29800,31126,31118,30605,31431,30962,30483,30515,30665,30535,30728,30177,31179,30133,
"Total energy consumption per capita in the commercial sector, Missouri (Million Btu)",50,45.7,47.5,48.4,50.5,49.9,51.4,53.6,56.2,57.5,59,61.2,59.6,64.3,63.5,65.3,68.4,68.2,68,69.3,71.7,71.8,71,70,70.8,72.1,70.6,70.7,72,69.2,70,68.8,66,68.1,70.8,68.2,67.8,66,69.8,66.3,
