Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,CA,9128795,455915,92453,240516,1074853,1033449,1291010,1705761,1168471,1257329,749574,59464
Statewide Total,,Cooperative,CA,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Total,,Privately Owned,CA,193963,8989,0,0,1706,1082,9397,36521,37592,73336,24108,1232
Statewide Total,,Investor Owned,CA,8822436,445306,91265,236463,1055336,1014896,1271269,1659533,1120743,1161379,708544,57702
Statewide Total,,Municipal Owned,CA,112396,1620,1188,4053,17811,17471,10344,9707,10136,22614,16922,530
CITY OF VICTORVILLE,32119,Municipal Owned,CA,79,23,0,0,0,0,0,0,0,12,43,1
AMERIGAS PROPANE LP,32013,Privately Owned,CA,5475,278,0,0,0,438,693,445,296,2833,492,0
KAMPS PROPANE,31964,Privately Owned,CA,765,0,0,0,0,76,288,401,0,0,0,0
CITY OF VERNON,31955,Municipal Owned,CA,124,0,0,0,0,0,0,0,0,29,93,2
CITY OF SUSANVILLE,31599,Municipal Owned,CA,3269,0,0,0,0,0,0,0,0,2759,510,0
ALPINE NATURAL GAS,31515,Privately Owned,CA,1723,0,0,0,0,0,0,0,0,1249,474,0
WEST COAST GAS CO INC,31267,Privately Owned,CA,1396,0,0,0,10,87,0,0,10,1286,3,0
ISLAND ENERGY,31097,Municipal Owned,CA,405,0,0,0,0,0,0,60,0,274,68,3
TRANSMONTAIGNE OPERATING COMPANY L.P.,30909,Privately Owned,CA,1,0,0,0,0,0,0,0,1,0,0,0
SUBURBAN PROPANE,18684,Privately Owned,CA,1279,1279,0,0,0,0,0,0,0,0,0,0
SOUTHWEST GAS CORP,18536,Privately Owned,CA,180818,7432,0,0,52,481,8416,35349,37159,67558,23139,1232
SOUTHERN CALIFORNIA GAS CO,18484,Investor Owned,CA,4523399,0,53904,119987,587863,580351,680977,1053744,522235,592313,302514,29511
SOUTHERN CALIFORNIA EDISON CO,18480,Investor Owned,CA,990,0,0,0,0,874,59,7,0,28,22,0
SAN DIEGO GAS & ELECTRIC CO,18112,Investor Owned,CA,691677,0,11964,17905,99166,89648,124905,125418,84143,80577,54883,3068
"PALO ALTO, CITY OF",15084,Municipal Owned,CA,17375,303,244,231,1466,87,1522,1232,3353,5410,3318,209
PACIFIC GAS & ELECTRIC CO,15007,Investor Owned,CA,3606370,445306,25397,98571,368307,344023,465328,480364,514365,488461,351125,25123
FERRELLGAS,13772,Privately Owned,CA,2506,0,0,0,1644,0,0,326,126,410,0,0
"LONG BEACH GAS DEPT, CITY OF",11712,Municipal Owned,CA,87182,0,944,3607,15912,17169,8687,8081,6015,13690,12762,315
"COALINGA, CITY OF",2524,Municipal Owned,CA,3962,1294,0,215,433,215,135,334,768,440,128,0
