,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Rhode Island (Million cubic feet)",13960,14424,14823,13749,15041,14992,16100,16742,17678,18283,17724,17366,20000,19722,17384,17342,18839,18162,16461,16601,18655,17937,17545,20176,19470,19088,16869,17672,17692,17914,16942,16864,15883,18221,19724,20042,17200,18421,20523,19892,
"Natural gas consumed by (delivered to) the commercial sector, Rhode Island (Million cubic feet)",6751,6867,7156,6976,7466,7590,6718,9395,8352,8767,8071,8269,9080,9205,12049,12064,12298,12303,11477,11804,12974,12808,11468,11391,11289,11043,9950,11247,10843,10725,10458,10843,10090,11633,13178,12016,10744,11338,12732,12416,
"Natural gas consumed by the industrial sector, Rhode Island (Million cubic feet)",5087,5196,4929,5080,5390,4619,3452,4392,4453,4624,4381,26867,47917,9439,40917,35043,25810,24472,42278,34521,8039,6127,4455,4450,5530,5892,6395,6705,6775,7739,8033,7462,7841,8161,8008,8624,8474,8551,8817,8819,
"Natural gas consumed by the electric power sector, Rhode Island (Million cubic feet)",1679,2603,794,3079,3661,2532,0,5336,185,2147,9049,23292,38468,35884,38209,35823,62338,61914,60177,54804,48425,58417,53965,42010,35958,43912,43033,51397,52984,55379,57122,64198,60553,46362,44867,50005,46907,50820,57260,51551,
"Total energy consumption per capita in the residential sector, Rhode Island (Million Btu)",65.8,59.9,60.1,63.4,65.7,68.5,66.5,67.8,72.4,70.6,68.5,64.7,68.5,66.4,66.8,64,65.5,62.2,57.9,59.4,62.3,62,62.2,70.4,70,67.3,59.4,60.5,57.8,58.2,58.9,56.9,56.6,62.2,62.4,64.3,54.9,53.5,60.9,57.6,
"Electricity consumed by (i.e., sold to) the residential sector, Rhode Island (Million kilowatthours)",1840,1817,1832,1913,1957,1971,2064,2186,2319,2370,2376,2369,2363,2412,2457,2472,2481,2486,2522,2667,2664,2699,2829,2998,3000,3171,3008,3132,3043,2937,3118,3129,3121,3165,3070,3136,3082,3028,3124,2983,
"Electricity consumed by (i.e., sold to) the residential sector per capita, Rhode Island (Kilowatthours)",1939,1907,1920,2000,2034,2034,2111,2209,2328,2369,2362,2344,2334,2376,2418,2430,2430,2425,2446,2564,2537,2553,2654,2799,2792,2970,2830,2962,2884,2787,2958,2970,2959,2998,2906,2967,2913,2866,2949,2819,
"Distillate fuel oil consumed by the residential sector, Rhode Island (Billion Btu)",19206,14952,14363,16851,19819,22238,19471,21260,24020,20582,17676,18123,22150,20376,22771,20171,20250,20994,18999,18395,18981,20729,19525,22215,22646,21718,16655,17138,16461,17591,16921,15568,15332,16229,15810,17271,10893,10336,14411,11827,
"Propane consumed by the residential sector, Rhode Island (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726,804,720,801,1135,1061,1182,1216,1845,1621,
"Distillate fuel oil consumed by the commercial sector, Rhode Island (Billion Btu)",3593,2220,2521,3363,3955,2871,5237,5926,5386,5043,4657,5228,4081,3973,5236,4312,4703,4319,3607,2964,3658,3666,3855,5878,4998,3993,3536,3977,3333,4925,3996,3044,2709,3140,4892,3121,2194,2048,2195,1730,
"Electricity consumed by (i.e., sold to) the commercial sector, Rhode Island (Million kilowatthours)",1892,1878,1884,1978,2075,2159,2268,2396,2539,2630,2688,2671,2670,2718,2737,2790,2773,2872,2908,3324,3243,3308,3401,3490,3542,3628,3599,3710,3700,3691,3693,3660,3640,3667,3658,3705,3651,3603,3698,3644,
"Total energy consumption per capita in the commercial sector, Rhode Island (Million Btu)",36,33.9,35.2,37.3,39.6,40.5,46.2,46.4,46.5,47.5,50.1,46.3,42.4,42.7,47.1,45.9,46.3,44.5,41.3,45.4,46.9,46.9,47.2,51.6,51.1,48.5,46.2,47,43.7,43.9,43.4,41.7,41.8,46.1,48.9,46.9,44.3,42.2,45.1,45.4,
