,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Missouri (Million cubic feet)",156571,153384,160082,153543,152832,155178,160198,154078,159013,161208,143425,128562,135984,126604,130683,128123,120564,116050,128317,129144,115950,120680,116655,134172,122566,125110,137225,127625,110779,112042,115466,116188,114185,114547,109738,106856,95394,101601,114025,106301,107389,102545,83106,106446,115512,95503,87264,86865,113938,110611,
"Natural gas consumed by (delivered to) the commercial sector, Missouri (Million cubic feet)",87644,89534,97506,91038,90291,90719,98435,93323,98680,94629,76054,68455,69913,66106,67218,60345,61890,58205,63839,63039,59387,63191,60963,69670,66196,65086,72802,69829,61995,63100,62673,64924,61897,61516,61755,60369,56722,59224,64993,61433,61194,62304,54736,64522,72919,61389,56968,57903,69381,67930,
"Natural gas consumed by the industrial sector, Missouri (Million cubic feet)",109597,108424,99111,118275,109702,89913,90950,89114,69524,63975,78064,73236,64559,59307,59502,65702,54508,54326,54243,53938,54538,57186,58467,60982,70521,68925,71247,70865,64284,64402,68496,67846,66965,61545,64483,66350,65627,67868,66758,63431,65554,63053,62516,63212,67115,65691,63630,63158,66744,65452,
"Natural gas consumed by the electric power sector, Missouri (Million cubic feet)",62971,67779,58897,54782,48119,26320,25422,25799,27269,20383,15329,7661,4441,2806,2501,1466,1182,1379,1623,1242,3532,12709,2351,4891,4351,12830,5202,7465,16034,19428,30481,32805,29911,21778,24574,31831,32480,41067,43009,29807,40216,37626,50538,37119,35127,38633,52480,46973,62977,67538,
"Residential carbon dioxide emissions, natural gas, Missouri (million metric tons CO2)",,,,,,,,,,,7.729667,6.928935,7.344316,6.900921,7.052717,6.914292,6.467979,6.225775,6.849456,6.906386,6.218931,6.458641,6.200998,7.146362,6.542152,6.684079,7.360233,6.838208,5.940012,6.021719,6.218825,6.203226,6.133404,6.161258,5.937465,5.781638,5.164695,5.49545,6.088146,5.67197,5.727998,5.484998,4.445618,5.727414,6.210495,5.111638,4.736634,4.634341,6.167095,,
"Commercial carbon dioxide emissions, natural gas, Missouri (million metric tons CO2)",,,,,,,,,,,4.098787,3.689401,3.775884,3.60329,3.627643,3.256565,3.320233,3.122544,3.407671,3.371274,3.185204,3.381885,3.240595,3.710783,3.533309,3.477228,3.904865,3.74145,3.324159,3.391382,3.375465,3.466298,3.324743,3.308773,3.34135,3.266434,3.070973,3.203349,3.470171,3.277894,3.264046,3.332542,2.927985,3.471657,3.920463,3.285746,3.092196,3.089171,3.751425,,
"Industrial carbon dioxide emissions, natural gas, Missouri (million metric tons CO2)",,,,,,,,,,,4.207128,3.947098,3.486725,3.23269,3.211202,3.545671,2.924218,2.914456,2.895461,2.884532,2.92512,3.060521,3.107953,3.248076,3.764158,3.682345,3.821406,3.797,3.446879,3.461311,3.689136,3.622285,3.59703,3.310365,3.4889,3.590026,3.553099,3.670885,3.5644,3.384538,3.496594,3.3726,3.344215,3.401198,3.608437,3.516012,3.453777,3.369576,3.604882,,
"Natural Gas Citygate Price in Missouri, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,3.82,3.36,3,2.87,2.87,3,3.14,2.92,2.86,3.2,3.05,2.73,3.25,3.75,3.33,3.34,4.96,6.33,4.56,6.12,6.99,8.67,8.53,7.53,8.03,7.06,6.17,5.85,5.27,4.99,5.76,4.64,4.22,4.63,4.4,4.22,
"Missouri Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",0.96,1.02,1.1,1.16,1.27,1.49,1.7,2.18,2.29,2.75,3.28,4.02,5.2,6.12,5.85,5.49,5.03,4.76,4.76,4.84,5.21,5.14,5.11,5.37,5.43,5.16,5.97,6.61,6.57,6.36,7.85,10.47,8.0,9.49,11.02,12.67,14.25,13.42,13.36,12.61,11.66,12.02,12.25,10.88,10.83,11.6,10.94,11.78,10.37,10.41,
"Missouri Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.63,0.65,0.75,0.78,0.9,1.15,1.35,1.86,2.0,2.53,2.93,3.59,4.77,5.61,5.27,4.96,4.4,4.11,4.2,4.34,4.53,4.5,4.47,4.76,4.85,4.39,5.35,5.88,5.68,5.47,6.92,9.82,7.34,8.59,10.0,11.62,12.94,11.82,12.02,10.81,10.28,9.99,9.54,9.0,8.96,9.14,7.89,8.44,7.96,7.67,
