,Operator ID,Operator Name,Operator Type,State,2010 - Main Miles Built,2011 - Main Miles Built,2012 - Main Miles Built,2013 - Main Miles Built,2014 - Main Miles Built,2015 - Main Miles Built,2016 - Main Miles Built,2017 - Main Miles Built,2018 - Main Miles Built,2019 - Main Miles Built,2020 - Main Miles Built
73,32594,OAKWOOD MUNICIPAL GAS,Municipal Owned,OH,0,9.712,1.1829999999999998,2.3930000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.45
74,32563,"CENTER ETHANOL COMPANY, LLC",Privately Owned,IL,0,0,0,0,0,0,0,0,0,0,0
75,32555,CITY OF JACKSONVILLE BEACH D/B/A BEACHES ENERGY SERVICES,Municipal Owned,FL,20.2,4.920999999999999,0.1769999999999996,0.625,0.7390000000000008,0.8850000000000016,0.08699999999999974,4.850999999999999,0.4789999999999992,3.570999999999998,36.844
76,32553,NEWTON COUNTY LANDFILL PARTNERSHIP,Privately Owned,IN,0,0,0,0,0,0,0,0,0,0,0
77,32519,WEST LIBERTY GAS SERVICE,Municipal Owned,KY,0,0.191,0.189,0.0,0.0,0.4,0.0,0.0,0.17999999999999994,0.0,0.011
78,32513,AMEREN ILLINOIS COMPANY,Investor Owned,IL,42,41,52,115,113.30000000000001,102.30000000000001,132.69999999999993,105.30000000000007,138.10000000000002,142.69999999999993,100.3
79,32500,AGRITEXGAS L P,Investor Owned,TX,0,0,4.96,0.0,0.0,14.719999999999999,200.0,90.32,343.21000000000004,82.46999999999991,0
80,32480,CITY OF ALTON,Municipal Owned,IA,0.283,0.426,0.06300000000000006,0.07699999999999996,0.28400000000000003,0.33099999999999996,0.20700000000000007,0.7969999999999999,0.06700000000000017,0.2809999999999997,0
81,32470,MAGNOLIA NATURAL GAS LLC,Privately Owned,LA,0,0,0,5.94,2.6209999999999996,0.1999999999999993,0.0,0.0,0.0,0.0,0
82,32468,CITY OF MAPLETON,Municipal Owned,IA,0,0,0,0,0,0,0,0,0,0,0
83,32462,PENINSULA PIPELINE COMPANY,Investor Owned,FL,0,0,8.096,13.565000000000001,1.7139999999999986,18.083,0.04800000000000182,0.015999999999998238,12.082,8.081000000000003,6.495
84,32397,"GLENWOOD ENERGY OF OXFORD, INC.",Privately Owned,OH,0,0,1,0,1,0,1,2,1,-6,0
85,32392,WESTFIELD GAS AND ELECTRIC CO-OPERATIVE,Cooperative,MA,0,0,0,0,0,0,0,0,0,0,0
86,32387,"JPC ENERGY, LLC",Investor Owned,LA,0,0,0,0,0,0,0,0,0,0,0
87,32379,"COBRA PIPELINE COMPANY, LTD.",Privately Owned,OH,0.963,3.638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
88,32371,"GAS ENERGY, LLC",Investor Owned,TX,1.48,6.871,6.334999999999999,14.466000000000001,18.131999999999998,12.689999999999998,7.637000000000008,5.721999999999994,7.0730000000000075,8.477999999999994,12.958
89,32363,MID-CONTINENT MARKET CENTER,Investor Owned,KS,0,0,0,0,0,0,0,0,0,0,0
90,32347,SHARPGAS INC DBA SHARP ENERGY,Investor Owned,PA,0,0,2.121,0.0,-0.591,0.6100000000000001,-0.1200000000000001,0.10000000000000009,0.0,0.020000000000000018,0.05
91,32336,MISSOURI JOINT MUNICIPAL ELECTRIC UTILITY COMMISSION,Municipal Owned,MO,0,0,0,0,0,0,0,0,0,0,0
92,32332,"CONSUMERS GAS COMPANY, INC.",Investor Owned,TX,0,1.46,0.0,0.0,0.33000000000000007,7.69,0.019999999999999574,2.1999999999999993,0.0,0.7400000000000002,0
93,32324,"KEYSTONE COOPERATIVE ASSOCIATION, INC.",Cooperative,PA,0,0.15,1.0330000000000001,4.5600000000000005,1.5569999999999995,3.2800000000000002,1.7799999999999994,0.46000000000000085,0.41000000000000014,1.5999999999999996,1.07
