,Operator ID,Operator Name,Operator Type,State,2010 - Main Miles Built,2011 - Main Miles Built,2012 - Main Miles Built,2013 - Main Miles Built,2014 - Main Miles Built,2015 - Main Miles Built,2016 - Main Miles Built,2017 - Main Miles Built,2018 - Main Miles Built,2019 - Main Miles Built,2020 - Main Miles Built
178,31406,FRONTIER NATURAL GAS COMPANY,Cooperative,NC,12.5,45.5,8.840000000000003,23.86999999999999,39.17999999999999,14.51000000000002,10.259999999999991,14.539999999999992,18.77000000000001,25.890000000000015,17.4
179,31363,CITY OF WAHOO,Municipal Owned,NE,0.56,0.20999999999999996,1.23,1.17,0.41900000000000004,0.9179999999999997,0.2469999999999999,1.5030000000000001,0.3280000000000003,0.47499999999999964,0.213
180,31360,MILLENNIUM ENERGY INC,Privately Owned,KY,1.37,0.0,0.0,0.1499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.35
181,31354,"BLUEBONNET NATURAL GAS, LLC",Privately Owned,TX,4.577,0.3959999999999999,-0.0030000000000001137,2.2800000000000002,0.9499999999999993,2.6500000000000004,1.200000000000001,0.0,0.0,0.0,0
182,31349,"FAIRFAX, CITY OF",Municipal Owned,MN,0,0,0,0,0,0,0,0,0,0,0
183,31348,ATMOS ENERGY CORPORATION - MID-TEX,Investor Owned,TX,151,166,314,360,2389,-1433.52,531.1199999999999,581.8200000000002,462.5799999999999,672.9399999999996,501.45
184,31342,"SUPERIOR ENERGY CO, LLC",Privately Owned,MI,5.74,0.20000000000000018,21.84,6.969999999999999,3.0,1.6000000000000014,2.789999999999999,0.8800000000000026,0.5,0.37999999999999545,6.16
185,31316,COLORADO NATURAL GAS INC.,Investor Owned,CO,52,66,143,11,-11,29,9.199999999999989,13.460000000000036,5.149999999999977,0.18999999999999773,15
186,31315,CLAY GAS UTILITY DISTRIST,Municipal Owned,TN,0,55,0,0,0,0,0,-55,0,0,0
187,31298,"SUBURBAN PROPANE, L.P.",Investor Owned,WI,0,0,0,0,0,0,0,0,0,0,0
188,31292,NORTHWEST GAS,Privately Owned,MN,0,0.22,3.7399999999999998,7.079999999999999,15.04,39.11,-3.059999999999995,27.07999999999999,30.210000000000008,0.46999999999999886,7.59
189,31286,"ONEOK GAS TRANSPORTATION, LLC",Investor Owned,OK,0,0,0,0,0,0,0,0,0,0,0
190,31267,WEST COAST GAS CO INC,Privately Owned,CA,0,0,0,0,0,0,0,0,0,0,0
191,31265,NEW HAMPSHIRE GAS CORP,Investor Owned,NH,1.914,0.8020000000000003,0.9289999999999998,0.8859999999999997,1.061,1.6230000000000002,0.8919999999999995,0.6290000000000013,0.10499999999999865,1.7190000000000012,0.835
192,31263,CMF OF KANSAS LLC,Privately Owned,KS,0,0,0,0,0.265,0.0,0.0,0.0,0.0,0.0,0
193,31232,AVISTA CORP,Investor Owned,WA,12.801,23.568999999999996,19.03,34.6,31.540000000000006,34.05999999999999,49.605999999999995,48.69200000000001,49.779000000000025,52.12699999999995,37.213
194,31222,"TYLER, CITY OF",Municipal Owned,MN,0,0,0,0,0,0,0,0,0,0,0
195,31191,ENERGY WEST MONTANA,Privately Owned,MT,22.2,11.2,29.300000000000004,8.829999999999998,29.620000000000005,12.909999999999997,-114.06,130.04,4.090000000000003,5.509999999999991,5.76
196,31159,"KANSAS GAS SERVICE COMPANY, A DIVISION OF ONE GAS, INC.",Investor Owned,OK,1,2.5,4.5,10,4,27.65,21.250000000000007,-16.11500000000001,9.295000000000002,2.6099999999999994,3.5
197,31158,"HILDALE, CITY OF",Municipal Owned,UT,0,0,0,0,0,0,0,0,0,0,0
198,31157,WHEELER BASIN NATURAL GAS CO,Investor Owned,AL,2.881,1.8889999999999998,3.5709999999999997,5.575000000000001,3.1140000000000008,1.9220000000000006,3.8919999999999995,9.238,2.570999999999998,5.786999999999999,2.369
199,31148,"SIENERGY, LP",Investor Owned,TX,10,9,36,15,48,48,76.33000000000001,49.59,7.909999999999968,88.34000000000003,94.39
200,31142,NORTH SLOPE BOROUGH ENERGY MANAGEMENT,Municipal Owned,AK,0,0,0,0,0,0,0,0,0,0,0
201,31130,DCP MIDSTREAM,Privately Owned,TX,0,0,0,0,0,0,0,0,0,0,0
202,31099,"BAGLEY NATURAL GAS, CITY OF",Municipal Owned,MN,0,0,0,0,0,0,0,0,0,3,0
203,31098,"CLEARBROOK MUNICIPAL GAS, CITY OF",Municipal Owned,MN,0,0,0.12,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0
204,31097,ISLAND ENERGY,Municipal Owned,CA,0,0,0.05,0.0,0.0,0.09999999999999999,-0.09999999999999999,0.58,1.5300000000000002,0.0,0
