,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, West Virginia (Million cubic feet)",57973,55629,59523,55686,53793,51296,51434,51609,53395,47964,48284,47114,43002,39967,39707,36750,36222,35634,37690,37128,32600,32587,35291,35208,35201,35379,37390,35996,29664,31403,31602,31939,30793,32209,30331,29795,26085,26528,27517,26172,27021,25073,22538,26514,28257,24807,23210,22385,26256,23850,
"Natural gas consumed by (delivered to) the commercial sector, West Virginia (Million cubic feet)",21678,23106,26654,25854,24586,24776,20462,19556,22501,22337,21980,22191,20548,18771,18780,17224,15995,16792,22416,23258,21391,21043,24419,24381,24979,25872,28025,25913,24986,27301,26167,27737,24729,26681,25177,25084,23477,22633,25299,23761,24907,24094,22634,24252,24101,23026,22698,22421,25059,23599,
"Natural gas consumed by the industrial sector, West Virginia (Million cubic feet)",93025,89196,97715,86851,87931,67946,64682,58570,60693,61224,59499,63725,52965,47688,49652,45312,43675,50234,48758,57698,57624,48633,52275,54226,54861,60284,56551,64590,56700,50771,56823,48324,55098,47567,46308,40273,40928,42094,38483,36478,38181,42167,50307,58891,76999,84010,95394,109491,121610,131731,
"Natural gas consumed by the electric power sector, West Virginia (Million cubic feet)",705,385,457,393,376,358,290,31,14,69,62,198,131,115,116,122,298,239,73,124,139,171,569,367,536,729,319,569,515,499,516,2620,1885,2084,1406,2287,3664,3849,1889,1109,1480,2579,2361,2840,6711,13221,10167,10426,10725,16451,
"Residential carbon dioxide emissions, natural gas, West Virginia (million metric tons CO2)",,,,,,,,,,,2.643814,2.59983,2.388876,2.201162,2.218458,2.080617,2.068255,2.030797,2.153782,2.121736,1.85258,1.855339,1.994347,1.989625,1.987344,1.991906,2.10497,2.039923,1.673354,1.758086,1.791034,1.809445,1.73559,1.821913,1.702588,1.687573,1.549149,1.513282,1.567294,1.502936,1.543153,1.442133,1.292354,1.514609,1.637276,1.447014,1.352839,1.286836,1.521029,,
"Commercial carbon dioxide emissions, natural gas, West Virginia (million metric tons CO2)",,,,,,,,,,,1.203537,1.224548,1.141514,1.033809,1.049249,0.975128,0.913317,0.956983,1.280947,1.329123,1.215634,1.198073,1.379951,1.377776,1.410246,1.456618,1.577799,1.468449,1.40945,1.528403,1.48304,1.571379,1.393852,1.50925,1.41327,1.420751,1.394276,1.291081,1.440966,1.364458,1.422396,1.38584,1.297872,1.385416,1.396451,1.34313,1.322968,1.288906,1.451683,,
"Industrial carbon dioxide emissions, natural gas, West Virginia (million metric tons CO2)",,,,,,,,,,,3.257892,3.516437,2.942364,2.626411,2.774121,2.565343,2.493823,2.862885,2.786271,3.297207,3.274657,2.768974,2.954195,3.064394,3.097289,3.394088,3.183718,3.660326,3.198468,2.842352,3.22054,2.737724,3.105513,2.690716,2.599405,2.281118,2.430685,2.401186,2.191877,2.09473,2.18047,2.425326,2.884691,3.364164,4.461535,4.900367,5.560126,6.294272,7.123972,,
"Natural Gas Citygate Price in West Virginia, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,4.26,4.18,3.61,3.2,3.43,3.75,3.54,3.58,3.23,3.39,3.26,2.85,3.36,3.17,3.17,3.4,3.75,4.88,4.28,5.69,7.04,9.69,8.93,8.62,10.32,7.06,6.31,5.91,4.99,4.65,5.07,4,3.46,3.86,3.86,3.71,3.17
"West Virginia Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",0.89,0.94,0.96,0.97,1.1,1.45,1.67,2.55,2.61,2.93,3.59,4.24,5.2,6.0,6.12,6.39,6.34,5.98,5.5,5.75,6.46,6.5,6.31,6.45,6.66,7.05,7.02,6.81,7.29,7.42,7.46,8.01,8.44,9.5,10.91,13.0,15.74,14.59,14.51,14.75,11.39,10.91,10.77,9.98,10.21,10.48,9.26,9.43,9.84,9.9,10.07
"West Virginia Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.71,0.73,0.75,0.76,0.89,1.22,1.5,2.25,2.15,2.69,3.34,3.95,4.94,5.72,5.8,6.02,5.89,5.48,5.18,5.26,5.83,6.11,5.48,5.87,5.91,6.09,6.03,6.34,6.26,6.23,6.58,7.04,7.38,8.48,10.13,12.22,14.38,13.37,13.54,14.24,10.27,9.65,9.35,8.61,8.92,8.95,7.75,7.65,8.11,8.02,8.12
