,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",OK,101017,101762,96280,88500,86550,83887,83089,82384,76081,71318
8,"Household Income: $100,000 to $124,999",OK,83610,92549,92122,99721,102382,108924,110972,111723,116656,123225
9,"Household Income: $125,000 to $149,999",OK,39553,46388,45259,49335,54015,54554,60746,62242,67424,77775
10,"Household Income: $15,000 to $19,999",OK,92139,94108,91119,87261,86954,85284,85175,80987,75801,70635
11,"Household Income: $150,000 to $199,999",OK,35853,36182,41474,43691,49846,53609,56790,59707,64313,71804
12,"Household Income: $20,000 to $24,999",OK,99249,93533,94688,90068,89010,89942,82570,88532,83436,80547
13,"Household Income: $200,000 or more",OK,30870,34532,38799,41298,48733,51684,51439,52848,62990,70100
14,"Household Income: $25,000 to $29,999",OK,89768,91535,84940,82858,84528,77292,81110,83748,72644,75149
15,"Household Income: $30,000 to $34,999",OK,89006,86012,84910,88191,83831,82765,83843,82224,82739,76028
16,"Household Income: $35,000 to $39,999",OK,83822,75701,78344,81102,76883,73716,76299,71256,74624,74641
17,"Household Income: $40,000 to $44,999",OK,78170,75003,78474,77181,71304,77552,72709,74518,73946,72254
18,"Household Income: $45,000 to $49,999",OK,65614,69107,64874,65388,63974,65889,62985,63715,66839,61618
19,"Household Income: $50,000 to $59,999",OK,127014,120509,118416,119385,125454,123848,118920,121494,122187,124248
20,"Household Income: $60,000 to $74,999",OK,145303,142838,150887,154203,152558,153060,154008,150077,157398,156132
21,"Household Income: $75,000 to $99,999",OK,148974,157013,162519,160497,168790,170402,173482,177890,182783,186534
22,"Household Income: Less than $10,000",OK,122997,125959,123562,118598,114947,113543,115205,107019,105449,103143
23,Household Income: Total:,OK,1432959,1442731,1446667,1447277,1459759,1465951,1469342,1470364,1485310,1495151
24,Median Household Income,OK,42072.0,43225.0,44312.0,45690.0,47529.0,48568.0,49176.0,50051.0,51924.0,54449.0
