,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
25,Median Number of Rooms,AR,5.3,5.3,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
26,Number of Rooms: 1,AR,22311,22153,19420,22241,19830,25911,32375,28801,33945,29080
27,Number of Rooms: 2,AR,18160,23477,22098,22251,20647,21833,24742,24456,28648,28161
28,Number of Rooms: 3,AR,85755,85964,85373,88338,84264,91823,95797,93660,92801,94540
29,Number of Rooms: 4,AR,234363,243797,235990,223701,234289,229174,226115,227162,212208,225823
30,Number of Rooms: 5,AR,352146,346210,344872,357570,349976,348453,335672,345717,342774,339378
31,Number of Rooms: 6,AR,272649,266721,277513,274028,277464,272599,278060,283711,280503,277268
32,Number of Rooms: 7,AR,155366,160607,161168,156378,164595,162444,161884,158306,170784,177359
33,Number of Rooms: 8,AR,89240,89461,92005,89882,95524,95185,92826,99136,102473,105279
34,Number of Rooms: 9+,AR,87828,86081,89786,95388,94492,100176,107330,109160,116385,112271
