,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Kansas (Million cubic feet)",97317,98644,100720,96468,93363,98372,101330,94592,99411,102413,85294,74701,81804,80538,79340,78350,70582,69653,76420,76033,71327,74825,71522,84896,74156,75846,85376,69415,70217,68146,70601,70182,70863,70369,65049,64923,57078,63091,70336,71068,67117,65491,50489,68036,71115,58384,54060,54445,67134,68123,
"Natural gas consumed by (delivered to) the commercial sector, Kansas (Million cubic feet)",52632,56246,61286,52674,53461,51705,57310,51815,64532,60931,58880,52036,55470,52535,57516,56522,55730,53609,61120,58554,56045,58571,53973,56023,52253,53122,57229,41482,41788,38952,40297,37560,38802,37781,36779,29616,27505,30546,33531,32512,31799,32117,25452,33198,36154,37047,34757,34612,40249,41320,
"Natural gas consumed by the industrial sector, Kansas (Million cubic feet)",184490,202559,205602,206282,200118,151590,170580,175131,174152,250447,190819,174644,160314,133864,158343,161304,138890,157895,154036,144253,157829,168131,174543,195688,230957,175470,158390,162398,144869,128185,138627,115877,137803,125356,115860,117713,132132,142555,128797,124864,124047,128383,134005,136077,134699,139742,139570,140582,144818,142528,
"Natural gas consumed by the electric power sector, Kansas (Million cubic feet)",167885,174841,180410,176104,165479,127818,122946,129054,118094,116828,101022,79117,61063,47226,32234,21181,15029,16074,18890,19152,27197,36122,13981,21636,27279,27945,23110,25822,36894,35890,33509,23267,21389,14488,10474,14105,22477,25560,26640,32040,27907,30501,32520,23268,18443,14624,20399,20589,28281,28232,
"Residential carbon dioxide emissions, natural gas, Kansas (million metric tons CO2)",,,,,,,,,,,4.498463,3.934311,4.369482,4.299871,4.182775,4.156565,3.691683,3.876585,3.996228,3.998987,3.780977,4.010447,3.745907,4.446414,3.928899,4.036445,4.515494,3.691205,3.702029,3.598091,3.774292,3.740389,3.79196,3.780128,3.497389,3.493941,3.087102,3.407034,3.86555,3.844751,3.629607,3.545246,2.738414,3.674386,3.864648,3.20457,2.965125,2.987037,3.698686,,
"Commercial carbon dioxide emissions, natural gas, Kansas (million metric tons CO2)",,,,,,,,,,,3.105354,2.740642,2.962843,2.804788,3.032242,2.998551,2.91488,2.983642,3.196134,3.079621,2.970908,3.139257,2.826806,2.934193,2.768444,2.827124,3.02683,2.205831,2.203178,2.056689,2.15426,2.001828,2.076373,2.029524,1.977422,1.593769,1.487603,1.649532,1.842817,1.758882,1.719673,1.738614,1.380481,1.792891,1.964741,2.03345,1.906379,1.898951,2.217185,,
"Industrial carbon dioxide emissions, natural gas, Kansas (million metric tons CO2)",,,,,,,,,,,10.063895,9.198116,8.562975,7.146892,8.34783,8.557404,7.264466,8.787776,8.054957,7.586997,8.366453,9.011356,9.141558,10.249115,12.236406,9.338345,8.37717,8.635715,7.637879,6.768174,7.410902,6.175743,7.373975,6.733899,6.229171,6.33486,7.146415,7.69831,7.078449,6.755122,6.708326,6.949787,7.26818,7.349038,7.320069,7.67019,7.655281,7.712795,7.958341,,
"Natural Gas Citygate Price in Kansas, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,4.13,3.18,2.88,2.7,2.05,2.28,2.76,2.62,2.5,2.8,2.86,2.36,3.05,3.47,2.96,2.96,4.52,6.06,4.12,5.97,6.68,9.08,9.08,8.27,8.85,6.12,6.08,5.53,4.74,4.98,6.1,4.59,4.02,4.51,4.21,3.68,
"Kansas Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",0.68,0.72,0.74,0.75,0.9,1.03,1.48,1.73,1.77,1.95,2.36,3.03,4.06,4.68,4.49,4.12,3.89,4.09,4.02,4.17,4.48,4.38,4.7,4.91,5.11,4.91,5.59,6.42,6.0,5.98,7.64,9.38,7.25,8.95,10.73,12.08,13.19,12.97,13.0,11.1,10.61,9.93,10.12,10.19,10.59,10.17,9.85,10.95,10.18,9.24,
"Kansas Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.45,0.47,0.51,0.53,0.6,0.67,1.1,1.19,1.17,1.61,1.9,2.41,3.24,4.56,3.46,3.15,2.86,3.02,3.03,3.14,3.36,3.32,3.53,4.06,4.12,3.93,4.61,5.38,4.98,5.04,6.8,8.52,6.51,8.5,10.1,11.45,12.44,12.04,12.24,10.01,9.65,8.89,8.82,9.07,9.61,8.87,8.41,9.3,8.63,7.68,7.52
