,state,source,all_exp,white_exp,POC_exp,hispanic_exp,black_exp,asian_exp,POC_pctDiff,hispanic_pctDiff,black_pctDiff,asian_pctDiff
0,All,All,6.49260408279847,5.94118688107481,7.39733913242244,7.21445574813179,7.85676781285937,7.68854150001725,0.139348563085954,0.111180607369206,0.21011041373601,0.184199960750309
1,Alabama,All,6.68897371954121,6.26128607677909,7.52189384987728,7.12545758443227,7.67128430460135,7.53255485455076,0.124521363853288,0.0652542352821504,0.146855201746483,0.126115181547972
2,Arkansas,All,6.20955370452372,6.02868314077244,6.70160118154225,7.25463398455767,6.40789362471406,7.3316135533228,0.0792403931799582,0.168301995564125,0.0319410910394171,0.180698952322716
3,Arizona,All,4.80300658328417,4.55991865916322,5.11459958197392,5.3342530679715,5.81217400535324,5.52381454478464,0.0648745724759537,0.11060706985833,0.210111605006178,0.150074323031138
4,California,All,6.41104959667844,5.41254065263868,7.02845906132198,7.31258996156491,7.42538573259007,6.4143640123932,0.0963039601133986,0.140622896655418,0.158216859909673,0.000516984881302685
5,Colorado,All,5.80801781648356,5.48740641409571,6.52008474608843,6.37791693180858,7.72838583046811,6.64004827659733,0.122600679285793,0.0981228249175834,0.330640861419952,0.143255493768014
6,Connecticut,All,3.74656530564721,3.49556483489701,4.29640978029683,4.38863426192003,4.44239385020247,3.91362393651129,0.146759613083705,0.171375354195756,0.185724386948877,0.0445898088610049
7,Delaware,All,7.99089394133147,7.8623874127926,8.2159717497615,8.11782287620042,8.29194267999188,8.25596490406046,0.02816678710574,0.0158841971625275,0.0376739750108928,0.0331716281901784
8,Florida,All,4.42970184749019,4.00416575947517,4.95000513883632,5.09845775063141,4.87924478991431,4.52819241827771,0.117457858171862,0.150970861282714,0.101483792341199,0.0222341309140978
9,Georgia,All,6.33288811255541,6.02473676841991,6.69666198817448,6.79084566448215,6.61806121548415,7.2774463818587,0.0574420184209259,0.0723141706891686,0.0450304975960899,0.149151264401882
10,Iowa,All,5.84471619605306,5.79089818795631,6.1908752164862,5.96022534073906,6.59290581167154,6.35202442678226,0.0592259758766209,0.0197630031658332,0.128011282416712,0.0867977526559423
11,Idaho,All,2.78427528700163,2.75282055773126,2.93589772150213,2.88189184224275,3.98034277987323,3.55473233310398,0.0544566965803804,0.0350599510389069,0.429579466676814,0.276717266320331
12,Illinois,All,9.04524949104245,8.17631728057386,10.4737006936832,10.4415082887015,10.8016903349789,10.2123156191812,0.157922808437219,0.154363768411451,0.194183791798768,0.129025310942995
13,Indiana,All,8.53687625147388,8.15091820634992,10.0852583302688,9.69143132761339,10.8778188099731,8.95939023214635,0.181375720249855,0.135243271909931,0.274215355774312,0.0494928084027831
14,Kansas,All,7.08700556748557,6.91011863665614,7.67846169757714,7.60164176794606,8.08742135369861,7.82089482380886,0.0834564223859376,0.0726168754292488,0.141161986778005,0.103554209085188
15,Kentucky,All,6.39074072907454,6.14979545046992,7.80976890214824,7.14365898151132,8.3879106648315,7.53283926785028,0.222044397235183,0.117813925545656,0.312509929666036,0.178711449453705
16,Louisiana,All,6.64666034514537,6.4088928114319,6.992744554899,6.9456604707252,7.02996701377746,7.15588198400885,0.0520688874987279,0.0449850165426641,0.0576690621647394,0.0766131579501285
17,Massachusetts,All,4.45314839244767,4.09909609808612,5.43494368322797,5.40207075288959,5.80652847796164,5.32584269555394,0.220472170306605,0.21309021771007,0.303915335004161,0.195972428088479
18,Maryland,All,8.36342589923505,7.93262898449417,8.81739196558967,8.91192063160207,8.96904613847952,8.16204609818552,0.0542799173238492,0.0655825422470941,0.0724129377770727,-0.0240786256105831
19,Maine,All,1.51139648151249,1.49204295434406,1.79992883970166,1.7702111796241,2.24931685124546,1.92091156277701,0.1909044792141,0.171242093836693,0.488237453745106,0.270951458650156
20,Michigan,All,6.50969831463931,6.12987902617603,7.69126596354797,7.01879889648402,8.25934108041692,7.35609650289168,0.181508818350536,0.0782064785859312,0.268774785129894,0.130021108097891
21,Minnesota,All,6.50363474219798,6.14844107570307,8.05181692602843,7.61615059968231,8.9529902946855,8.53461513306777,0.238048759685914,0.171060630183598,0.376613332325566,0.312283895295047
22,Missouri,All,6.72862554007076,6.39095814296351,8.13841097946602,7.5126019856474,8.75716920937306,7.66238738284707,0.209520567164811,0.116513609043607,0.30147964947994,0.138774529391703
23,Mississippi,All,5.04102393973409,4.95588150392459,5.15358580321706,5.32138651632748,5.12928822703902,5.51718349789335,0.0223291666194517,0.0556161962222656,0.0175091982026143,0.0944569126930946
24,Montana,All,1.36944803559474,1.37684473069445,1.32057173367613,1.52178036759563,1.78747048729766,1.61836325442844,-0.035690512270789,0.111236299619606,0.305248860006124,0.18176317199623
25,North Carolina,All,6.20887408888165,6.07921429578643,6.43807777914911,6.49485530861995,6.41537989835186,6.74127536649425,0.036915499813065,0.0460600771805655,0.0332597837408238,0.0857484416644846
26,North Dakota,All,4.40057807613193,4.37946638699668,4.53339799273155,4.37174199920245,7.48946553281726,7.87663398371187,0.0301823792923976,-0.00655279293552001,0.701927656604705,0.789908927291516
27,Nebraska,All,6.01493373987897,5.83814974539241,6.74889466815503,6.49265814138616,7.63370905547592,7.12029422919285,0.122023111145831,0.0794230530487599,0.269126042879654,0.183769354263265
28,New Hampshire,All,2.18815775416375,2.14487426838577,2.64989806867715,2.89717588522188,2.75861735226059,2.57386768196228,0.211017836184243,0.324025143849421,0.260703140352356,0.17627153575403
29,New Jersey,All,7.22363398805223,6.6372604289191,8.01169308176764,8.44086344662313,8.00761844839606,7.23946478388519,0.10909454922811,0.168506524636239,0.108530479484499,0.00219152795658579
