,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",NY,386574,397675,387742,380615,377078,359771,352029,344117,357629,329325
8,"Household Income: $100,000 to $124,999",NY,603367,597837,617675,625871,633509,645747,646586,655983,673922,709376
9,"Household Income: $125,000 to $149,999",NY,363445,364807,384256,386985,399096,416840,432309,446175,478113,488838
10,"Household Income: $15,000 to $19,999",NY,374001,383559,378760,365961,358172,349323,322683,318605,310940,288805
11,"Household Income: $150,000 to $199,999",NY,395091,413475,424622,446677,464067,496206,521545,555089,585743,634178
12,"Household Income: $20,000 to $24,999",NY,384222,378349,366099,354461,352168,336818,327051,324836,325741,286239
13,"Household Income: $200,000 or more",NY,423852,454064,475975,529681,550699,585493,646674,718112,784922,901536
14,"Household Income: $25,000 to $29,999",NY,338163,332276,319731,325781,321647,306117,297201,287841,277816,261940
15,"Household Income: $30,000 to $34,999",NY,337888,331601,326769,337071,319296,316090,316465,295232,293279,277219
16,"Household Income: $35,000 to $39,999",NY,315625,300290,292332,300144,302801,292356,285531,274367,263872,246739
17,"Household Income: $40,000 to $44,999",NY,320055,308262,308273,299478,304322,276189,277776,280334,264265,268533
18,"Household Income: $45,000 to $49,999",NY,283280,258054,265732,255237,253041,257741,239908,248659,245075,242835
19,"Household Income: $50,000 to $59,999",NY,545750,523935,534127,516107,506980,502150,485826,497724,486211,472300
20,"Household Income: $60,000 to $74,999",NY,685961,683974,698386,665568,683022,676048,648930,651489,636270,658024
21,"Household Income: $75,000 to $99,999",NY,848756,856183,857092,846671,864451,852850,864777,865908,879308,883154
22,"Household Income: Less than $10,000",NY,590397,603597,601351,583048,592049,563955,543763,539861,503909,497771
23,Household Income: Total:,NY,7196427,7187938,7238922,7219356,7282398,7233694,7209054,7304332,7367015,7446812
24,Median Household Income,NY,54148.0,55246.0,56448.0,57369.0,58878.0,60850.0,62909.0,64894.0,67844.0,72108.0
