,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,IA,81974,89279,84509,73163,73258,71551,71069,74330,69310,67643
50,Year Built: 1950-1959,IA,151111,146176,143111,148598,145917,135585,139963,141376,139029,140366
51,Year Built: 1960-1969,IA,143266,137799,147076,146809,147682,142505,146459,143087,140712,135956
52,Year Built: 1970-1979,IA,195981,197434,199380,192041,198448,205930,197963,191432,207453,199603
53,Year Built: 1980-1989,IA,102632,91729,93941,100628,98858,102026,107115,99645,105059,104516
54,Year Built: 1990-1999,IA,140195,145307,145013,149856,145169,148016,147006,141238,151106,152872
55,Year Built: 2000-2009,IA,87246,86458,159101,155481,159175,157353,151459,161672,152255,149280
56,Year Built: 2010-2013,IA,70270,82453,14047,23276,34465,38557,42526,45194,38389,40607
57,Year Built: 2014 or later,IA,,,,,,8246.0,22264.0,35419.0,48880.0,66320.0
58,Year Built: before 1940,IA,364888,363953,359533,359755,359062,359610,354263,364346,357375,361437
