,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,IA,2.51,2.53,2.51,2.52,2.52,2.52,2.53,2.53,2.51,2.48
1,Avg household size of renter-occupied unit,IA,2.15,2.18,2.2,2.18,2.18,2.19,2.21,2.16,2.15,2.13
2,House Heating Fuel: Electric,IA,220296,228200,233255,249151,264344,283022,287406,277510,286768,304965
3,House Heating Fuel: Fuel Oil,IA,9510,11212,9572,7228,7828,7202,5726,6365,6203,4706
4,House Heating Fuel: Gas,IA,787742,776366,784644,775699,769215,758106,758616,777947,779024,780476
5,House Heating Fuel: Propane,IA,166138,164825,162117,163459,163627,162877,161914,161999,165484,165743
6,House Heating Fuel: Wood,IA,19924,18963,21865,20468,19581,18554,16908,16193,14855,15032
25,Median Number of Rooms,IA,5.9,5.9,5.8,5.9,5.9,5.8,5.9,5.9,5.9,5.9
26,Number of Rooms: 1,IA,14279,16985,16693,14968,16586,21475,17812,19930,21423,23599
27,Number of Rooms: 2,IA,26912,27541,24342,27813,32940,30595,29560,30226,30713,32902
28,Number of Rooms: 3,IA,96808,94851,93139,105440,98741,102456,101576,101027,106633,111509
29,Number of Rooms: 4,IA,195587,189346,203475,190762,198950,206779,208633,208431,211147,205848
30,Number of Rooms: 5,IA,245030,249649,256903,254328,243059,244228,240151,250763,240497,247479
31,Number of Rooms: 6,IA,233402,238063,225326,228652,231495,233515,235762,233624,233490,244036
32,Number of Rooms: 7,IA,185468,183847,190722,184083,188292,175921,180264,184602,189950,186522
33,Number of Rooms: 8,IA,144035,147113,141035,139943,140458,144619,148746,144141,148525,144739
34,Number of Rooms: 9+,IA,196042,193193,194076,203618,211513,209791,217583,224995,227190,221966
35,Owner-Occupied,IA,2224541,2230418,2215843,2202642,2220021,2223133,2225787,2275099,2272887,2251547
36,Renter-Occupied,IA,727230,733779,758051,787674,787178,799791,808390,770609,784326,806914
37,Total Housing Units,IA,1337563,1340588,1345711,1349607,1362034,1369379,1380087,1397739,1409568,1418600
38,Total Population,IA,3049883,3062309,3074186,3090416,3107126,3123899,3134693,3145711,3156145,3155070
39,Units in Structure: 1 ATTACHED,IA,48173,48523,47101,53166,52967,52567,53074,56394,60186,61775
40,Units in Structure: 1 DETACHED,IA,986588,989797,999060,997109,1006162,997917,1016658,1031465,1029655,1024256
41,Units in Structure: 10-19,IA,48476,51832,50145,51623,53261,57104,53120,53936,52414,62432
42,Units in Structure: 2,IA,33154,32041,31965,33364,29904,34012,30920,31487,31829,31364
43,Units in Structure: 20-49,IA,44493,44064,45889,49973,45042,47926,48345,50852,51634,53875
44,Units in Structure: 3-4,IA,45087,48325,46913,43122,45164,48006,48610,45907,49075,45405
45,Units in Structure: 5-9,IA,51342,49192,50840,47961,52583,50836,53202,48117,49123,52720
46,Units in Structure: 50+,IA,24328,24571,22319,26254,27230,28832,24744,28647,32155,36833
47,"Units in Structure: Boat,RV,Van,Etc.",IA,369,403,79,482,385,258,418,470,574,841
48,Units in Structure: Mobile Home,IA,55553,51840,51400,46553,49336,51921,50996,50464,52923,49099
49,Year Built: 1940-1949,IA,81974,89279,84509,73163,73258,71551,71069,74330,69310,67643
50,Year Built: 1950-1959,IA,151111,146176,143111,148598,145917,135585,139963,141376,139029,140366
51,Year Built: 1960-1969,IA,143266,137799,147076,146809,147682,142505,146459,143087,140712,135956
52,Year Built: 1970-1979,IA,195981,197434,199380,192041,198448,205930,197963,191432,207453,199603
53,Year Built: 1980-1989,IA,102632,91729,93941,100628,98858,102026,107115,99645,105059,104516
54,Year Built: 1990-1999,IA,140195,145307,145013,149856,145169,148016,147006,141238,151106,152872
55,Year Built: 2000-2009,IA,87246,86458,159101,155481,159175,157353,151459,161672,152255,149280
56,Year Built: 2010-2013,IA,70270,82453,14047,23276,34465,38557,42526,45194,38389,40607
57,Year Built: 2014 or later,IA,,,,,,8246.0,22264.0,35419.0,48880.0,66320.0
58,Year Built: before 1940,IA,364888,363953,359533,359755,359062,359610,354263,364346,357375,361437
