,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",MI,237074,235932,226404,216432,205512,198423,192393,181943,176624,161953
8,"Household Income: $100,000 to $124,999",MI,246823,265984,271425,279024,290095,299875,317278,337427,341456,349044
9,"Household Income: $125,000 to $149,999",MI,136138,136224,145352,155584,163931,171344,186785,194272,209169,225347
10,"Household Income: $15,000 to $19,999",MI,242198,234942,231535,221625,218245,208038,204042,185038,178250,164837
11,"Household Income: $150,000 to $199,999",MI,118836,128206,132751,142729,152978,169000,180780,201685,219321,233324
12,"Household Income: $20,000 to $24,999",MI,247002,237362,230440,219993,220182,215407,210055,208507,200691,190565
13,"Household Income: $200,000 or more",MI,90448,103957,112947,124466,136728,150162,172805,187792,204041,227078
14,"Household Income: $25,000 to $29,999",MI,221621,210735,211822,211674,207639,195954,191279,192691,183883,190137
15,"Household Income: $30,000 to $34,999",MI,214722,217325,217877,216269,216046,213575,212988,198317,204608,196909
16,"Household Income: $35,000 to $39,999",MI,197700,195262,201478,194790,191911,188915,186744,194607,187589,182827
17,"Household Income: $40,000 to $44,999",MI,205889,191633,191075,190712,194110,195129,189850,192123,187862,182058
18,"Household Income: $45,000 to $49,999",MI,179553,163880,170225,177113,170331,170308,168833,172863,162068,163305
19,"Household Income: $50,000 to $59,999",MI,330253,309596,317208,311418,317379,321771,317209,321965,312973,318380
20,"Household Income: $60,000 to $74,999",MI,389520,379248,386583,396107,396964,401240,400421,402118,413704,418953
21,"Household Income: $75,000 to $99,999",MI,427891,433940,440333,450231,454415,463728,469989,491937,504604,520933
22,"Household Income: Less than $10,000",MI,320953,328207,331613,324299,298108,295663,282702,266732,270623,244230
23,Household Income: Total:,MI,3806621,3772433,3819068,3832466,3834574,3858532,3884153,3930017,3957466,3969880
24,Median Household Income,MI,45413.0,45981.0,46859.0,48273.0,49847.0,51084.0,52492.0,54909.0,56697.0,59584.0
