,Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Main Miles Built Pre-1940,Main Miles Built 1940-49,Main Miles Built 1950-59,Main Miles Built 1960-69,Main Miles Built 1970-79,Main Miles Built 1980-89,Main Miles Built 1990-99,Main Miles Built 2000-09,Main Miles Built 2010-19,Main Miles Built 2020-29
0,Statewide Total,,Total,AR,20730.389,30.2,3411,3688.0,38.0,210.0,838.0,1867.0,1912.0,2837.0,3716.0,3123.0,2363.0,133.0
1,Statewide Total,,Cooperative,AR,7.05,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
2,Statewide Total,,Privately Owned,AR,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Statewide Total,,Investor Owned,AR,20431.969,31.0,3342,3574.0,38.0,210.0,809.0,1827.0,1905.0,2807.0,3683.0,3090.0,2349.0,133.0
4,Statewide Total,,Municipal Owned,AR,291.37,33.833333333333336,69,113.0,0.0,0.0,29.0,40.0,7.0,30.0,32.0,32.0,6.0,0.0
5,BLACK HILLS ENERGY,15359,Investor Owned,AR,4972.12,29.0,878,566.04,2.26,47.21,278.18,432.14,488.44,424.52,957.87,897.7,807.94,69.82
6,NORTH CROSSETT GAS & WATER,13610,Municipal Owned,AR,29.0,48.0,15,0.0,0.0,0.0,0.0,15.0,5.0,9.0,0.0,0.0,0.0,0.0
7,LOGAN TOWNSHIP GAS USERS ASSOC INC,11652,Cooperative,AR,7.05,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05,0.0
8,HAZEN NATURAL GAS CO,7190,Municipal Owned,AR,17.0,0.0,0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,HARRISBURG WATER & GAS DIV,7095,Municipal Owned,AR,150.9,17.0,0,96.9,0.0,0.0,0.0,0.0,0.0,0.0,15.5,32.9,5.6,0.0
10,DEVALLS BLUFF GAS SYSTEM,3339,Municipal Owned,AR,16.0,36.0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0
11,DES ARC MUNICIPAL GAS CO,3330,Municipal Owned,AR,48.47,50.0,29,0.0,0.0,0.0,29.0,0.0,2.0,0.0,17.0,0.0,0.47,0.0
12,"AUGUSTA LIGHT WATER & GAS, CITY OF",873,Municipal Owned,AR,30.0,52.0,25,0.0,0.0,0.0,0.0,25.0,0.0,5.0,0.0,0.0,0.0,0.0
13,ARKANSAS OKLAHOMA GAS CORP,621,Investor Owned,AR,1674.89,33.0,327,168.05,25.61,33.79,67.0,167.75,167.94,243.05,434.34,202.2,153.34,11.82
14,CENTERPOINT ENERGY RESOURCES CORP.,603,Investor Owned,AR,13784.959,31.0,2137,2840.839,10.649,129.013,464.554,1227.59,1249.111,2140.279,2291.617,1990.697,1388.622,51.988
