,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Arkansas (Million cubic feet)",59792,48737,47387,48883,44110,48543,49348,49057,47937,49892,46835,42796,44832,42783,45903,40189,38530,40055,42867,42312,39188,40639,39474,45545,41527,41107,46289,42428,38190,36245,42361,37202,39130,37994,34760,33605,31495,32731,35718,33252,36240,33737,26191,34989,38127,33049,27130,25704,34979,33718,
"Natural gas consumed by (delivered to) the commercial sector, Arkansas (Million cubic feet)",39169,30832,32457,33789,31040,33291,34011,33913,34612,33442,30690,28282,29438,27739,28995,26731,24949,24603,27457,27271,25129,25986,25314,28998,27407,27409,31006,29441,28062,27898,33180,32031,32928,31746,29821,31521,31286,32187,36924,36373,40232,39986,41435,47636,50673,47651,45810,47496,55453,55100,
"Natural gas consumed by the industrial sector, Arkansas (Million cubic feet)",162115,155926,151048,180694,162038,132351,140158,130641,119898,124880,125880,129109,110570,95666,99757,109099,101306,67131,116923,140919,127323,106256,124688,124073,136089,139998,144179,151795,149394,139552,132338,123813,119858,112284,102442,90543,89392,87679,88131,82165,88930,92033,88818,94479,96137,91926,93207,104564,110384,108604,
"Natural gas consumed by the electric power sector, Arkansas (Million cubic feet)",107446,86433,72332,49014,39648,31818,15972,6905,6993,30254,58863,54915,33443,33275,24962,11411,28425,32057,22075,29462,32090,27903,27015,21191,24977,32750,33998,24805,40574,40089,34602,26096,42430,56369,40138,48987,71056,63594,64188,83266,96553,107014,129059,93552,71796,109553,135317,127049,152665,159531,
"Residential carbon dioxide emissions, natural gas, Arkansas (million metric tons CO2)",,,,,,,,,,,2.470371,2.25979,2.371049,2.316932,2.481354,2.168055,2.071544,2.151766,2.28966,2.254112,2.094996,2.191877,2.108631,2.446814,2.251247,2.365213,2.520669,2.282445,2.076585,1.957473,2.289873,1.999971,2.126776,2.077752,1.861122,1.800054,1.722591,1.753045,1.911526,1.784561,1.937046,1.816713,1.403561,1.89216,2.045759,1.775435,1.457414,1.383718,1.881708,,
"Commercial carbon dioxide emissions, natural gas, Arkansas (million metric tons CO2)",,,,,,,,,,,1.618759,1.493386,1.556895,1.502193,1.567347,1.442027,1.341379,1.321695,1.466592,1.452851,1.343448,1.401598,1.352202,1.55785,1.485799,1.577056,1.688422,1.583848,1.525857,1.50665,1.793634,1.721954,1.789654,1.736067,1.596634,1.688369,1.711184,1.72397,1.976096,1.952061,2.15044,2.153252,2.220475,2.57606,2.718942,2.559878,2.460874,2.556801,2.983058,,
"Industrial carbon dioxide emissions, natural gas, Arkansas (million metric tons CO2)",,,,,,,,,,,6.639723,6.817463,5.847747,5.180771,5.392467,5.885523,5.446638,3.606262,6.2453,7.507359,6.806746,5.731022,6.660575,6.665509,7.377689,8.055275,7.851379,8.166058,8.123347,7.536806,7.153736,6.656065,6.51451,6.140301,5.484892,4.849857,4.889278,4.696099,4.716525,4.409646,4.753347,4.95597,4.759714,5.109304,5.158328,4.938408,5.006958,5.628888,5.937784,,
"Natural Gas Citygate Price in Arkansas, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,3,3,2.83,2.51,2.43,2.47,2.41,2.45,2.6,2.66,2.54,2.32,2.76,3.23,2.94,2.81,4.16,6.11,5.17,6.07,7.12,8.83,7.96,8.55,8.88,7.86,6.76,6.27,5.36,4.99,5.84,4.77,4.29,4.7,4.42,4.04,
"Arkansas Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",0.75,0.79,0.83,0.87,1.06,1.12,1.23,1.98,1.96,1.57,2.47,3.04,3.82,4.4,4.37,4.43,4.83,4.63,4.81,4.85,5.1,4.98,5.1,5.38,5.71,5.48,5.92,6.67,6.85,7.22,7.43,10.03,8.95,10.33,11.73,13.65,14.15,13.08,14.09,13.39,11.53,11.46,11.82,10.46,10.39,11.58,11.17,12.97,11.77,11.05,11.98
"Arkansas Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.53,0.55,0.57,0.62,0.76,0.89,1.02,1.61,1.62,1.36,2.28,2.82,3.63,4.17,4.18,4.13,4.39,4.26,4.34,4.38,4.46,4.35,4.38,4.42,4.58,4.09,4.68,5.23,5.16,5.38,5.41,7.8,7.05,7.67,8.86,10.2,10.72,10.07,11.32,10.72,8.89,8.9,7.99,7.68,7.88,8.43,7.14,8.34,7.95,7.68,7.45
