,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",AR,85729,93398,91795,82649,86627,80765,75579,76067,70128,69710
8,"Household Income: $100,000 to $124,999",AR,57711,60565,64507,63871,67076,67737,75019,76726,84215,86684
9,"Household Income: $125,000 to $149,999",AR,29498,31387,32767,32673,33834,38338,40069,41405,46656,48314
10,"Household Income: $15,000 to $19,999",AR,83738,84017,80988,83652,75926,74574,71364,67167,67127,69094
11,"Household Income: $150,000 to $199,999",AR,24066,26723,25554,28617,29608,28889,35574,45642,43601,45587
12,"Household Income: $20,000 to $24,999",AR,81681,82100,85638,77406,79138,79082,73293,74447,74669,71367
13,"Household Income: $200,000 or more",AR,19554,20258,23306,24869,28003,34044,33538,34188,41695,44747
14,"Household Income: $25,000 to $29,999",AR,76179,71512,70181,70680,71330,71857,67142,71075,65034,66188
15,"Household Income: $30,000 to $34,999",AR,76599,67320,71547,70931,67884,72241,68962,65007,65082,67952
16,"Household Income: $35,000 to $39,999",AR,63549,61324,58892,62916,68090,61504,59857,57268,61532,55634
17,"Household Income: $40,000 to $44,999",AR,58572,58755,59636,59219,61024,58489,60179,62106,56945,58995
18,"Household Income: $45,000 to $49,999",AR,52651,51438,51421,53339,51083,51970,53457,51609,57006,49735
19,"Household Income: $50,000 to $59,999",AR,84402,91553,98541,92486,94205,91200,98492,92950,95318,90584
20,"Household Income: $60,000 to $74,999",AR,106704,100822,106429,105041,104843,111498,110734,116995,110606,122462
21,"Household Income: $75,000 to $99,999",AR,104649,109274,111440,109451,114378,118687,118374,126196,122162,133504
22,"Household Income: Less than $10,000",AR,109620,117175,111217,108099,98239,103788,101085,94234,94571,83090
23,Household Income: Total:,AR,1114902,1127621,1143859,1125899,1131288,1144663,1142718,1153082,1156347,1163647
24,Median Household Income,AR,38307.0,38758.0,40112.0,40511.0,41262.0,41995.0,44334.0,45869.0,47062.0,48952.0
