,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Texas (Million cubic feet)",224800,209045,221383,214479,230311,212676,194602,210688,209957,230099,210655,222200,214682,231799,213433,206415,229318,234988,199454,175907,193555,208449,209951,206694,191507,185124,166225,199802,192750,192153,226445,199958,169980,207148,234520,211379,175332,164147,227028,228129,
"Natural gas consumed by (delivered to) the commercial sector, Texas (Million cubic feet)",168513,157199,189447,157481,165700,151774,146972,156509,175368,182670,172333,180973,184673,175988,180232,209584,178549,216333,169610,171714,190453,171847,226274,218565,192901,159972,147366,161255,167129,167315,188796,184475,161273,173809,184908,175883,164306,164782,214173,198029,
"Natural gas consumed by the industrial sector, Texas (Million cubic feet)",2162933,2080437,1594531,1573110,1663321,1731635,1655356,1805304,1994246,2079865,2105403,2069924,2027846,2117335,2068943,2188003,2442392,2351090,2329161,2146081,2397231,2315650,2246150,2133763,2092866,1628074,1590583,1611929,1652978,1536577,1743038,1781283,1874833,1933522,1988477,2023290,2067057,2089677,2266597,2290210,
"Natural gas consumed by the electric power sector, Texas (Million cubic feet)",1430027,1378235,1286297,1190648,1265385,1197590,1106826,1049804,1043910,1144026,1134238,1132682,1104687,1210739,1187928,1207268,1206032,1231541,1440704,1444716,1577563,1506112,1550292,1453858,1394408,1466263,1463658,1473555,1440043,1387421,1348656,1454413,1516946,1422600,1425134,1623836,1534063,1370474,1643854,1787199,
"Total energy consumption per capita in the residential sector, Texas (Million Btu)",64.9,61.6,63.3,60.2,65.6,66.3,63.5,65.6,67.2,71,66,65.7,62.4,64.8,63.9,63.7,67.1,66.8,68.9,66.2,69.9,68.3,70.2,66.9,63.7,65.5,62.6,65,65.1,64.1,66.8,68.1,61.3,63.6,63.4,61.5,59.4,58,62.2,61,
"Electricity consumed by (i.e., sold to) the residential sector, Texas (Million kilowatthours)",57178,57621,60733,60326,68363,71740,72392,74369,77255,79620,82548,84088,81934,87686,89793,92831,99656,101094,110434,108591,116895,117343,121435,121355,120330,126562,126843,124921,128240,129815,137161,145654,137412,140273,140900,145652,145973,144242,157268,155481,
"Electricity consumed by (i.e., sold to) the residential sector per capita, Texas (Kilowatthours)",3988,3907,3961,3830,4271,4409,4371,4474,4635,4737,4840,4833,4613,4828,4837,4896,5153,5121,5479,5282,5581,5504,5599,5508,5373,5556,5430,5242,5275,5234,5434,5680,5268,5297,5226,5303,5229,5099,5494,5364,
"Distillate fuel oil consumed by the residential sector, Texas (Billion Btu)",47,41,168,2006,1587,160,89,299,117,53,10,14,10,16,31,36,0,1,2,12,16,5,23,1,844,28,2,2,2,10,4,18,14,2,8,9,6,6,6,6,
"Propane consumed by the residential sector, Texas (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20501,18387,14675,17513,18546,19076,19585,15960,16682,21603,
"Distillate fuel oil consumed by the commercial sector, Texas (Billion Btu)",16555,21786,28424,52145,41271,39480,23359,29853,20654,16047,12958,12948,13625,11397,12887,15536,15595,14029,17876,16704,32919,21106,13476,15744,10452,15808,14041,14121,13192,19339,14405,26543,24037,19735,18553,16657,18778,14793,11466,13802,
"Electricity consumed by (i.e., sold to) the commercial sector, Texas (Million kilowatthours)",44062,47253,49337,51228,57151,60150,61350,62459,65511,67426,70781,72141,72076,75466,78058,80354,83477,85162,91548,93492,99748,102459,97115,96694,99616,110784,111130,110540,113638,118535,121467,128214,133105,136516,139432,136324,139104,137486,143525,142002,
"Total energy consumption per capita in the commercial sector, Texas (Million Btu)",53,53.5,53.4,56.7,54.9,54.9,53,54.3,56.8,59.1,55.9,55.6,54.4,54.1,55,56.8,55.5,57.3,57.5,57.7,61.2,58.7,58.4,55.7,53.9,56.7,54.6,56.1,57.1,58.2,58.6,60.6,59.6,60.8,60.8,57.9,57.6,56.6,57.9,56.1,
